,begin_schedule
12,"{92: 16620, 91: 16680, 90: 16705, 1: 16730, 86: 16822, 87: 16847, 2: 16907, 3: 16949, 4: 16990, 36: 17025, 37: 17028, 5: 17118, 6: 17146, 7: 17180, 8: 17213, 9: 17238}"
28,"{92: 14640, 91: 14700, 90: 14725, 1: 14750, 86: 14842, 87: 14867, 2: 14927, 3: 14969, 4: 15010, 36: 15045, 37: 15048, 5: 15138, 6: 15166, 7: 15200, 8: 15233, 9: 15258}"
29,"{92: 16440, 91: 16500, 90: 16522, 1: 16544, 86: 16624, 87: 16646, 2: 16706, 3: 16743, 4: 16778, 36: 16808, 37: 16811, 5: 16980, 6: 17005, 7: 17035, 8: 17064, 9: 17086}"
37,"{10: 14580, 11: 14640, 12: 14659, 13: 14680, 14: 14696, 44: 14711, 45: 14715, 46: 14733, 47: 15000, 48: 15004, 65: 15011, 66: 15026, 67: 15041, 68: 15056, 69: 15071, 70: 15086, 71: 15101, 72: 15116, 73: 15131, 74: 15142}"
38,"{10: 16140, 11: 16200, 12: 16219, 13: 16240, 14: 16256, 44: 16271, 45: 16275, 46: 16293, 47: 16500, 48: 16504, 65: 16511, 66: 16526, 67: 16541, 68: 16556, 69: 16571, 70: 16586, 71: 16601, 72: 16616, 73: 16631, 74: 16642}"
39,"{10: 17880, 11: 17940, 12: 17959, 13: 17980, 14: 17996, 44: 18011, 45: 18015, 46: 18033, 47: 18240, 48: 18244, 65: 18251, 66: 18266, 67: 18281, 68: 18296, 69: 18311, 70: 18326, 71: 18341, 72: 18356, 73: 18371, 74: 18382}"
76,"{58: 16140, 57: 16200, 56: 16211, 55: 16226, 54: 16241, 53: 16256, 52: 16271, 51: 16286, 50: 16301, 49: 16316, 43: 16331, 35: 16337, 42: 16340, 36: 16341, 37: 16344, 5: 16500, 6: 16520, 7: 16544, 8: 16567, 9: 16585}"
114,"{10: 15660, 11: 15720, 12: 15739, 13: 15760, 14: 15776, 44: 15791, 45: 15795, 46: 15813, 47: 16080, 48: 16084, 65: 16091, 66: 16106, 67: 16121, 68: 16136, 69: 16151, 70: 16166, 71: 16181, 72: 16196, 73: 16211, 74: 16222}"
116,"{10: 17520, 11: 17580, 12: 17599, 13: 17620, 14: 17636, 44: 17651, 45: 17655, 46: 17673, 47: 17940, 48: 17944, 65: 17951, 66: 17966, 67: 17981, 68: 17996, 69: 18011, 70: 18026, 71: 18041, 72: 18056, 73: 18071, 74: 18082}"
119,"{58: 15360, 57: 15420, 56: 15431, 55: 15446, 54: 15461, 53: 15476, 52: 15491, 51: 15506, 50: 15521, 49: 15536, 43: 15551, 35: 15557, 42: 15560, 36: 15561, 37: 15564, 5: 15720, 6: 15740, 7: 15764, 8: 15787, 9: 15805}"
121,"{58: 17580, 57: 17640, 56: 17651, 55: 17666, 54: 17681, 53: 17696, 52: 17711, 51: 17726, 50: 17741, 49: 17756, 43: 17771, 35: 17777, 42: 17780, 36: 17781, 37: 17784, 5: 17940, 6: 17960, 7: 17984, 8: 18007, 9: 18025}"
