,stations
12,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
28,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
29,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
37,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
38,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
39,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
76,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
114,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
116,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
119,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
121,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
195,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
196,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
197,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
198,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
199,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
200,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
243,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
245,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
277,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
279,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
282,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
284,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
345,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
346,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
347,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
348,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
392,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
393,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
437,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
439,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
441,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
