,end_schedule
19,"{92: 49021, 91: 49046, 90: 49071, 1: 49163, 86: 49188, 87: 49248, 2: 49290, 3: 49331, 4: 49366, 36: 49369, 37: 49459, 5: 49487, 6: 49521, 7: 49554, 8: 49579, 9: 49638}"
22,"{10: 48001, 11: 48028, 12: 48058, 13: 48081, 14: 48103, 15: 48132, 38: 48241, 35: 48244, 34: 48266, 82: 48312, 81: 48350, 85: 48410, 84: 48431, 83: 48447, 16: 48511, 17: 48524, 88: 48549, 89: 48574, 93: 48633}"
56,"{10: 48361, 11: 48380, 12: 48401, 13: 48417, 14: 48432, 44: 48436, 45: 48454, 46: 48661, 47: 48665, 48: 48672, 65: 48687, 66: 48702, 67: 48717, 68: 48732, 69: 48747, 70: 48762, 71: 48777, 72: 48792, 73: 48803, 74: 48862}"
57,"{10: 50161, 11: 50180, 12: 50201, 13: 50217, 14: 50232, 44: 50236, 45: 50254, 46: 50461, 47: 50465, 48: 50472, 65: 50487, 66: 50502, 67: 50517, 68: 50532, 69: 50547, 70: 50562, 71: 50577, 72: 50592, 73: 50603, 74: 50662}"
93,"{58: 47281, 57: 47292, 56: 47307, 55: 47322, 54: 47337, 53: 47352, 52: 47367, 51: 47382, 50: 47397, 49: 47412, 43: 47418, 35: 47421, 42: 47422, 36: 47425, 37: 47641, 5: 47661, 6: 47685, 7: 47708, 8: 47726, 9: 47785}"
94,"{58: 49141, 57: 49152, 56: 49167, 55: 49182, 54: 49197, 53: 49212, 52: 49227, 51: 49242, 50: 49257, 49: 49272, 43: 49278, 35: 49281, 42: 49282, 36: 49285, 37: 49501, 5: 49521, 6: 49545, 7: 49568, 8: 49586, 9: 49645}"
150,"{10: 47341, 11: 47360, 12: 47381, 13: 47397, 14: 47412, 44: 47416, 45: 47434, 46: 47641, 47: 47645, 48: 47652, 65: 47667, 66: 47682, 67: 47697, 68: 47712, 69: 47727, 70: 47742, 71: 47757, 72: 47772, 73: 47783, 74: 47842}"
152,"{10: 49201, 11: 49220, 12: 49241, 13: 49257, 14: 49272, 44: 49276, 45: 49294, 46: 49501, 47: 49505, 48: 49512, 65: 49527, 66: 49542, 67: 49557, 68: 49572, 69: 49587, 70: 49602, 71: 49617, 72: 49632, 73: 49643, 74: 49702}"
155,"{58: 48121, 57: 48132, 56: 48147, 55: 48162, 54: 48177, 53: 48192, 52: 48207, 51: 48222, 50: 48237, 49: 48252, 43: 48258, 35: 48261, 42: 48262, 36: 48265, 37: 48481, 5: 48501, 6: 48525, 7: 48548, 8: 48566, 9: 48625}"
157,"{58: 49861, 57: 49872, 56: 49887, 55: 49902, 54: 49917, 53: 49932, 52: 49947, 51: 49962, 50: 49977, 49: 49992, 43: 49998, 35: 50001, 42: 50002, 36: 50005, 37: 50221, 5: 50241, 6: 50265, 7: 50288, 8: 50306, 9: 50365}"
230,"{10: 47581, 11: 47608, 12: 47638, 13: 47661, 14: 47683, 15: 47712, 38: 47881, 35: 47884, 34: 47906, 82: 47952, 81: 47990, 85: 48050, 84: 48071, 83: 48087, 16: 48151, 17: 48164, 88: 48189, 89: 48214, 93: 48273}"
262,"{92: 48241, 91: 48261, 90: 48281, 1: 48352, 86: 48371, 87: 48431, 2: 48464, 3: 48495, 4: 48522, 36: 48525, 37: 48721, 5: 48743, 6: 48769, 7: 48795, 8: 48815, 9: 48874}"
263,"{92: 50041, 91: 50063, 90: 50085, 1: 50165, 86: 50187, 87: 50247, 2: 50284, 3: 50319, 4: 50349, 36: 50352, 37: 50521, 5: 50546, 6: 50576, 7: 50605, 8: 50627, 9: 50686}"
311,"{92: 46861, 91: 46886, 90: 46911, 1: 47003, 86: 47028, 87: 47088, 2: 47130, 3: 47171, 4: 47206, 36: 47209, 37: 47341, 5: 47369, 6: 47403, 7: 47436, 8: 47461, 9: 47520}"
313,"{92: 48661, 91: 48683, 90: 48705, 1: 48785, 86: 48807, 87: 48867, 2: 48904, 3: 48939, 4: 48969, 36: 48972, 37: 49141, 5: 49166, 6: 49196, 7: 49225, 8: 49247, 9: 49306}"
