,stations
10,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
21,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
24,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
60,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
61,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
97,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
98,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
158,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
160,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
163,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
165,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
227,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
229,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
253,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
265,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
321,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
326,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
328,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
367,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
368,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
418,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
420,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
423,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
425,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
464,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
466,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
469,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
