,current_route
10,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
21,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
24,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
60,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
61,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
97,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
98,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
158,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
160,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
163,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
165,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
227,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
229,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
253,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
265,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
321,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
326,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
328,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
367,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
368,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
418,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
420,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
423,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
425,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
464,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
466,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
469,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
