,stations
16,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
17,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
30,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
31,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
48,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
49,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
85,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
86,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
134,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
136,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
139,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
141,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
218,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
254,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
256,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
295,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
297,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
299,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
300,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
302,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
304,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
352,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
353,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
354,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
371,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
402,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
403,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
449,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
450,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
452,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
