,begin_schedule
16,"{92: 34560, 91: 34620, 90: 34642, 1: 34664, 86: 34744, 87: 34766, 2: 34826, 3: 34863, 4: 34898, 36: 34928, 37: 34931, 5: 35040, 6: 35065, 7: 35095, 8: 35124, 9: 35146}"
17,"{10: 33540, 11: 33600, 12: 33627, 13: 33657, 14: 33680, 15: 33702, 38: 33731, 35: 33840, 34: 33843, 82: 33865, 81: 33911, 85: 33949, 84: 34009, 83: 34030, 16: 34046, 17: 34110, 88: 34123, 89: 34148, 93: 34173}"
30,"{92: 33840, 91: 33900, 90: 33920, 1: 33940, 86: 34011, 87: 34030, 2: 34090, 3: 34123, 4: 34154, 36: 34181, 37: 34184, 5: 34380, 6: 34402, 7: 34428, 8: 34454, 9: 34474}"
31,"{92: 35280, 91: 35340, 90: 35365, 1: 35390, 86: 35482, 87: 35507, 2: 35567, 3: 35609, 4: 35650, 36: 35685, 37: 35688, 5: 35820, 6: 35848, 7: 35882, 8: 35915, 9: 35940}"
48,"{10: 33960, 11: 34020, 12: 34039, 13: 34060, 14: 34076, 44: 34091, 45: 34095, 46: 34113, 47: 34320, 48: 34324, 65: 34331, 66: 34346, 67: 34361, 68: 34376, 69: 34391, 70: 34406, 71: 34421, 72: 34436, 73: 34451, 74: 34462}"
49,"{10: 35640, 11: 35700, 12: 35719, 13: 35740, 14: 35756, 44: 35771, 45: 35775, 46: 35793, 47: 36000, 48: 36004, 65: 36011, 66: 36026, 67: 36041, 68: 36056, 69: 36071, 70: 36086, 71: 36101, 72: 36116, 73: 36131, 74: 36142}"
85,"{58: 32820, 57: 32880, 56: 32891, 55: 32906, 54: 32921, 53: 32936, 52: 32951, 51: 32966, 50: 32981, 49: 32996, 43: 33011, 35: 33017, 42: 33020, 36: 33021, 37: 33024, 5: 33240, 6: 33260, 7: 33284, 8: 33307, 9: 33325}"
86,"{58: 34680, 57: 34740, 56: 34751, 55: 34766, 54: 34781, 53: 34796, 52: 34811, 51: 34826, 50: 34841, 49: 34856, 43: 34871, 35: 34877, 42: 34880, 36: 34881, 37: 34884, 5: 35040, 6: 35060, 7: 35084, 8: 35107, 9: 35125}"
134,"{10: 32880, 11: 32940, 12: 32959, 13: 32980, 14: 32996, 44: 33011, 45: 33015, 46: 33033, 47: 33300, 48: 33304, 65: 33311, 66: 33326, 67: 33341, 68: 33356, 69: 33371, 70: 33386, 71: 33401, 72: 33416, 73: 33431, 74: 33442}"
136,"{10: 34740, 11: 34800, 12: 34819, 13: 34840, 14: 34856, 44: 34871, 45: 34875, 46: 34893, 47: 35160, 48: 35164, 65: 35171, 66: 35186, 67: 35201, 68: 35216, 69: 35231, 70: 35246, 71: 35261, 72: 35276, 73: 35291, 74: 35302}"
139,"{58: 33360, 57: 33420, 56: 33431, 55: 33446, 54: 33461, 53: 33476, 52: 33491, 51: 33506, 50: 33521, 49: 33536, 43: 33551, 35: 33557, 42: 33560, 36: 33561, 37: 33564, 5: 33720, 6: 33740, 7: 33764, 8: 33787, 9: 33805}"
141,"{58: 35520, 57: 35580, 56: 35591, 55: 35606, 54: 35621, 53: 35636, 52: 35651, 51: 35666, 50: 35681, 49: 35696, 43: 35711, 35: 35717, 42: 35720, 36: 35721, 37: 35724, 5: 35940, 6: 35960, 7: 35984, 8: 36007, 9: 36025}"
218,"{10: 33060, 11: 33120, 12: 33147, 13: 33177, 14: 33200, 15: 33222, 38: 33251, 35: 33420, 34: 33423, 82: 33445, 81: 33491, 85: 33529, 84: 33589, 83: 33610, 16: 33626, 17: 33690, 88: 33703, 89: 33728, 93: 33753}"
254,"{92: 33660, 91: 33720, 90: 33745, 1: 33770, 86: 33862, 87: 33887, 2: 33947, 3: 33989, 4: 34030, 36: 34065, 37: 34068, 5: 34200, 6: 34228, 7: 34262, 8: 34295, 9: 34320}"
256,"{92: 35580, 91: 35640, 90: 35662, 1: 35684, 86: 35764, 87: 35786, 2: 35846, 3: 35883, 4: 35918, 36: 35948, 37: 35951, 5: 36120, 6: 36145, 7: 36175, 8: 36204, 9: 36226}"
295,"{92: 32400, 91: 32460, 90: 32482, 1: 32504, 86: 32584, 87: 32606, 2: 32666, 3: 32703, 4: 32738, 36: 32768, 37: 32771, 5: 32940, 6: 32965, 7: 32995, 8: 33024, 9: 33046}"
297,"{92: 34140, 91: 34200, 90: 34220, 1: 34240, 86: 34311, 87: 34330, 2: 34390, 3: 34423, 4: 34454, 36: 34481, 37: 34484, 5: 34680, 6: 34702, 7: 34728, 8: 34754, 9: 34774}"
299,"{92: 35940, 91: 36000, 90: 36025, 1: 36050, 86: 36142, 87: 36167, 2: 36227, 3: 36269, 4: 36310, 36: 36345, 37: 36348, 5: 36480, 6: 36508, 7: 36542, 8: 36575, 9: 36600}"
300,"{10: 32400, 11: 32460, 12: 32487, 13: 32517, 14: 32540, 15: 32562, 38: 32591, 35: 32760, 34: 32763, 82: 32785, 81: 32831, 85: 32869, 84: 32929, 83: 32950, 16: 32966, 17: 33030, 88: 33043, 89: 33068, 93: 33093}"
302,"{10: 34020, 11: 34080, 12: 34101, 13: 34124, 14: 34142, 15: 34159, 38: 34182, 35: 34380, 34: 34383, 82: 34400, 81: 34435, 85: 34465, 84: 34525, 83: 34542, 16: 34554, 17: 34604, 88: 34614, 89: 34634, 93: 34654}"
304,"{10: 35820, 11: 35880, 12: 35907, 13: 35937, 14: 35960, 15: 35982, 38: 36011, 35: 36180, 34: 36183, 82: 36205, 81: 36251, 85: 36289, 84: 36349, 83: 36370, 16: 36386, 17: 36450, 88: 36463, 89: 36488, 93: 36513}"
352,"{92: 33360, 91: 33420, 90: 33442, 1: 33464, 86: 33544, 87: 33566, 2: 33626, 3: 33663, 4: 33698, 36: 33728, 37: 33731, 5: 33900, 6: 33925, 7: 33955, 8: 33984, 9: 34006}"
