,current_route
14,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
15,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
44,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
45,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
81,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
82,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
126,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
128,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
131,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
133,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
209,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
210,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
211,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
212,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
289,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
291,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
292,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
294,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
398,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
399,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
445,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
446,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
