,begin_schedule
14,"{92: 27360, 91: 27420, 90: 27445, 1: 27470, 86: 27562, 87: 27587, 2: 27647, 3: 27689, 4: 27730, 36: 27765, 37: 27768, 5: 27858, 6: 27886, 7: 27920, 8: 27953, 9: 27978}"
15,"{10: 26340, 11: 26400, 12: 26427, 13: 26457, 14: 26480, 15: 26502, 38: 26531, 35: 26640, 34: 26643, 82: 26665, 81: 26711, 85: 26749, 84: 26809, 83: 26830, 16: 26846, 17: 26910, 88: 26923, 89: 26948, 93: 26973}"
44,"{10: 26580, 11: 26640, 12: 26659, 13: 26680, 14: 26696, 44: 26711, 45: 26715, 46: 26733, 47: 26880, 48: 26884, 65: 26891, 66: 26906, 67: 26921, 68: 26936, 69: 26951, 70: 26966, 71: 26981, 72: 26996, 73: 27011, 74: 27022}"
45,"{10: 28440, 11: 28500, 12: 28519, 13: 28540, 14: 28556, 44: 28571, 45: 28575, 46: 28593, 47: 28740, 48: 28744, 65: 28751, 66: 28766, 67: 28781, 68: 28796, 69: 28811, 70: 28826, 71: 28841, 72: 28856, 73: 28871, 74: 28882}"
81,"{58: 25680, 57: 25740, 56: 25751, 55: 25766, 54: 25781, 53: 25796, 52: 25811, 51: 25826, 50: 25841, 49: 25856, 43: 25871, 35: 25877, 42: 25880, 36: 25881, 37: 25884, 5: 26100, 6: 26120, 7: 26144, 8: 26167, 9: 26185}"
82,"{58: 27420, 57: 27480, 56: 27491, 55: 27506, 54: 27521, 53: 27536, 52: 27551, 51: 27566, 50: 27581, 49: 27596, 43: 27611, 35: 27617, 42: 27620, 36: 27621, 37: 27624, 5: 27840, 6: 27860, 7: 27884, 8: 27907, 9: 27925}"
126,"{10: 25680, 11: 25740, 12: 25759, 13: 25780, 14: 25796, 44: 25811, 45: 25815, 46: 25833, 47: 26040, 48: 26044, 65: 26051, 66: 26066, 67: 26081, 68: 26096, 69: 26111, 70: 26126, 71: 26141, 72: 26156, 73: 26171, 74: 26182}"
128,"{10: 27480, 11: 27540, 12: 27559, 13: 27580, 14: 27596, 44: 27611, 45: 27615, 46: 27633, 47: 27840, 48: 27844, 65: 27851, 66: 27866, 67: 27881, 68: 27896, 69: 27911, 70: 27926, 71: 27941, 72: 27956, 73: 27971, 74: 27982}"
131,"{58: 26460, 57: 26520, 56: 26531, 55: 26546, 54: 26561, 53: 26576, 52: 26591, 51: 26606, 50: 26621, 49: 26636, 43: 26651, 35: 26657, 42: 26660, 36: 26661, 37: 26664, 5: 26880, 6: 26900, 7: 26924, 8: 26947, 9: 26965}"
133,"{58: 28260, 57: 28320, 56: 28331, 55: 28346, 54: 28361, 53: 28376, 52: 28391, 51: 28406, 50: 28421, 49: 28436, 43: 28451, 35: 28457, 42: 28460, 36: 28461, 37: 28464, 5: 28680, 6: 28700, 7: 28724, 8: 28747, 9: 28765}"
209,"{92: 26220, 91: 26280, 90: 26305, 1: 26330, 86: 26422, 87: 26447, 2: 26507, 3: 26549, 4: 26590, 36: 26625, 37: 26628, 5: 26760, 6: 26788, 7: 26822, 8: 26855, 9: 26880}"
210,"{10: 25860, 11: 25920, 12: 25947, 13: 25977, 14: 26000, 15: 26022, 38: 26051, 35: 26220, 34: 26223, 82: 26245, 81: 26291, 85: 26329, 84: 26389, 83: 26410, 16: 26426, 17: 26490, 88: 26503, 89: 26528, 93: 26553}"
211,"{92: 28020, 91: 28080, 90: 28105, 1: 28130, 86: 28222, 87: 28247, 2: 28307, 3: 28349, 4: 28390, 36: 28425, 37: 28428, 5: 28560, 6: 28588, 7: 28622, 8: 28655, 9: 28680}"
212,"{10: 27660, 11: 27720, 12: 27744, 13: 27770, 14: 27790, 15: 27809, 38: 27835, 35: 28020, 34: 28023, 82: 28042, 81: 28082, 85: 28115, 84: 28175, 83: 28194, 16: 28208, 17: 28264, 88: 28275, 89: 28297, 93: 28319}"
289,"{92: 26820, 91: 26880, 90: 26905, 1: 26930, 86: 27022, 87: 27047, 2: 27107, 3: 27149, 4: 27190, 36: 27225, 37: 27228, 5: 27360, 6: 27388, 7: 27422, 8: 27455, 9: 27480}"
291,"{92: 28560, 91: 28620, 90: 28645, 1: 28670, 86: 28762, 87: 28787, 2: 28847, 3: 28889, 4: 28930, 36: 28965, 37: 28968, 5: 29160, 6: 29188, 7: 29222, 8: 29255, 9: 29280}"
292,"{10: 25200, 11: 25260, 12: 25287, 13: 25317, 14: 25340, 15: 25362, 38: 25391, 35: 25560, 34: 25563, 82: 25585, 81: 25631, 85: 25669, 84: 25729, 83: 25750, 16: 25766, 17: 25830, 88: 25843, 89: 25868, 93: 25893}"
294,"{10: 26940, 11: 27000, 12: 27027, 13: 27057, 14: 27080, 15: 27102, 38: 27131, 35: 27300, 34: 27303, 82: 27325, 81: 27371, 85: 27409, 84: 27469, 83: 27490, 16: 27506, 17: 27570, 88: 27583, 89: 27608, 93: 27633}"
398,"{92: 25620, 91: 25680, 90: 25702, 1: 25724, 86: 25804, 87: 25826, 2: 25886, 3: 25923, 4: 25958, 36: 25988, 37: 25991, 5: 26220, 6: 26245, 7: 26275, 8: 26304, 9: 26326}"
399,"{10: 28020, 11: 28080, 12: 28107, 13: 28137, 14: 28160, 15: 28182, 38: 28211, 35: 28440, 34: 28443, 82: 28465, 81: 28511, 85: 28549, 84: 28609, 83: 28630, 16: 28646, 17: 28710, 88: 28723, 89: 28748, 93: 28773}"
445,"{92: 27480, 91: 27540, 90: 27565, 1: 27590, 86: 27682, 87: 27707, 2: 27767, 3: 27809, 4: 27850, 36: 27885, 37: 27888, 5: 28020, 6: 28048, 7: 28082, 8: 28115, 9: 28140}"
446,"{10: 26280, 11: 26340, 12: 26367, 13: 26397, 14: 26420, 15: 26442, 38: 26471, 35: 26640, 34: 26643, 82: 26665, 81: 26711, 85: 26749, 84: 26809, 83: 26830, 16: 26846, 17: 26910, 88: 26923, 89: 26948, 93: 26973}"
