,planned_stop
8,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
32,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
58,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
59,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
95,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
96,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
154,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
156,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
159,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
161,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
264,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
315,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
317,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
319,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
322,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
324,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
363,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
364,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
365,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
366,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
377,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
378,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
414,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
416,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
419,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
421,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
461,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
465,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
467,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
