,begin_schedule
62,"{10: 59460, 11: 59520, 12: 59539, 13: 59560, 14: 59576, 44: 59591, 45: 59595, 46: 59613, 47: 59820, 48: 59824, 65: 59831, 66: 59846, 67: 59861, 68: 59876, 69: 59891, 70: 59906, 71: 59921, 72: 59936, 73: 59951, 74: 59962}"
63,"{10: 60900, 11: 60960, 12: 60979, 13: 61000, 14: 61016, 44: 61031, 45: 61035, 46: 61053, 47: 61260, 48: 61264, 65: 61271, 66: 61286, 67: 61301, 68: 61316, 69: 61331, 70: 61346, 71: 61361, 72: 61376, 73: 61391, 74: 61402}"
99,"{58: 58080, 57: 58140, 56: 58151, 55: 58166, 54: 58181, 53: 58196, 52: 58211, 51: 58226, 50: 58241, 49: 58256, 43: 58271, 35: 58277, 42: 58280, 36: 58281, 37: 58284, 5: 58440, 6: 58460, 7: 58484, 8: 58507, 9: 58525}"
100,"{58: 59880, 57: 59940, 56: 59951, 55: 59966, 54: 59981, 53: 59996, 52: 60011, 51: 60026, 50: 60041, 49: 60056, 43: 60071, 35: 60077, 42: 60080, 36: 60081, 37: 60084, 5: 60240, 6: 60260, 7: 60284, 8: 60307, 9: 60325}"
162,"{10: 58080, 11: 58140, 12: 58159, 13: 58180, 14: 58196, 44: 58211, 45: 58215, 46: 58233, 47: 58440, 48: 58444, 65: 58451, 66: 58466, 67: 58481, 68: 58496, 69: 58511, 70: 58526, 71: 58541, 72: 58556, 73: 58571, 74: 58582}"
164,"{10: 59820, 11: 59880, 12: 59899, 13: 59920, 14: 59936, 44: 59951, 45: 59955, 46: 59973, 47: 60180, 48: 60184, 65: 60191, 66: 60206, 67: 60221, 68: 60236, 69: 60251, 70: 60266, 71: 60281, 72: 60296, 73: 60311, 74: 60322}"
167,"{58: 58860, 57: 58920, 56: 58931, 55: 58946, 54: 58961, 53: 58976, 52: 58991, 51: 59006, 50: 59021, 49: 59036, 43: 59051, 35: 59057, 42: 59060, 36: 59061, 37: 59064, 5: 59220, 6: 59240, 7: 59264, 8: 59287, 9: 59305}"
169,"{58: 60600, 57: 60660, 56: 60671, 55: 60686, 54: 60701, 53: 60716, 52: 60731, 51: 60746, 50: 60761, 49: 60776, 43: 60791, 35: 60797, 42: 60800, 36: 60801, 37: 60804, 5: 60960, 6: 60980, 7: 61004, 8: 61027, 9: 61045}"
231,"{92: 58560, 91: 58620, 90: 58642, 1: 58664, 86: 58744, 87: 58766, 2: 58826, 3: 58863, 4: 58898, 36: 58928, 37: 58931, 5: 59100, 6: 59125, 7: 59155, 8: 59184, 9: 59206}"
232,"{10: 58320, 11: 58380, 12: 58401, 13: 58424, 14: 58442, 15: 58459, 38: 58482, 35: 58680, 34: 58683, 82: 58700, 81: 58735, 85: 58765, 84: 58825, 83: 58842, 16: 58854, 17: 58904, 88: 58914, 89: 58934, 93: 58954}"
