,end_schedule
7,"{10: 36361, 11: 36385, 12: 36411, 13: 36431, 14: 36450, 15: 36476, 38: 36661, 35: 36664, 34: 36683, 82: 36723, 81: 36756, 85: 36816, 84: 36835, 83: 36849, 16: 36905, 17: 36916, 88: 36938, 89: 36960, 93: 37019}"
50,"{10: 37501, 11: 37520, 12: 37541, 13: 37557, 14: 37572, 44: 37576, 45: 37594, 46: 37801, 47: 37805, 48: 37812, 65: 37827, 66: 37842, 67: 37857, 68: 37872, 69: 37887, 70: 37902, 71: 37917, 72: 37932, 73: 37943, 74: 38002}"
51,"{10: 39301, 11: 39320, 12: 39341, 13: 39357, 14: 39372, 44: 39376, 45: 39394, 46: 39601, 47: 39605, 48: 39612, 65: 39627, 66: 39642, 67: 39657, 68: 39672, 69: 39687, 70: 39702, 71: 39717, 72: 39732, 73: 39743, 74: 39802}"
87,"{58: 36481, 57: 36492, 56: 36507, 55: 36522, 54: 36537, 53: 36552, 52: 36567, 51: 36582, 50: 36597, 49: 36612, 43: 36618, 35: 36621, 42: 36622, 36: 36625, 37: 36841, 5: 36861, 6: 36885, 7: 36908, 8: 36926, 9: 36985}"
88,"{58: 38341, 57: 38352, 56: 38367, 55: 38382, 54: 38397, 53: 38412, 52: 38427, 51: 38442, 50: 38457, 49: 38472, 43: 38478, 35: 38481, 42: 38482, 36: 38485, 37: 38641, 5: 38661, 6: 38685, 7: 38708, 8: 38726, 9: 38785}"
138,"{10: 36541, 11: 36560, 12: 36581, 13: 36597, 14: 36612, 44: 36616, 45: 36634, 46: 36841, 47: 36845, 48: 36852, 65: 36867, 66: 36882, 67: 36897, 68: 36912, 69: 36927, 70: 36942, 71: 36957, 72: 36972, 73: 36983, 74: 37042}"
140,"{10: 38341, 11: 38360, 12: 38381, 13: 38397, 14: 38412, 44: 38416, 45: 38434, 46: 38641, 47: 38645, 48: 38652, 65: 38667, 66: 38682, 67: 38697, 68: 38712, 69: 38727, 70: 38742, 71: 38757, 72: 38772, 73: 38783, 74: 38842}"
143,"{58: 37321, 57: 37332, 56: 37347, 55: 37362, 54: 37377, 53: 37392, 52: 37407, 51: 37422, 50: 37437, 49: 37452, 43: 37458, 35: 37461, 42: 37462, 36: 37465, 37: 37681, 5: 37701, 6: 37725, 7: 37748, 8: 37766, 9: 37825}"
145,"{58: 39181, 57: 39192, 56: 39207, 55: 39222, 54: 39237, 53: 39252, 52: 39267, 51: 39282, 50: 39297, 49: 39312, 43: 39318, 35: 39321, 42: 39322, 36: 39325, 37: 39481, 5: 39501, 6: 39525, 7: 39548, 8: 39566, 9: 39625}"
215,"{92: 37861, 91: 37883, 90: 37905, 1: 37985, 86: 38007, 87: 38067, 2: 38104, 3: 38139, 4: 38169, 36: 38172, 37: 38341, 5: 38366, 6: 38396, 7: 38425, 8: 38447, 9: 38506}"
217,"{92: 38761, 91: 38781, 90: 38801, 1: 38872, 86: 38891, 87: 38951, 2: 38984, 3: 39015, 4: 39042, 36: 39045, 37: 39241, 5: 39263, 6: 39289, 7: 39315, 8: 39335, 9: 39394}"
