,begin_schedule
7,"{10: 36300, 11: 36360, 12: 36384, 13: 36410, 14: 36430, 15: 36449, 38: 36475, 35: 36660, 34: 36663, 82: 36682, 81: 36722, 85: 36755, 84: 36815, 83: 36834, 16: 36848, 17: 36904, 88: 36915, 89: 36937, 93: 36959}"
50,"{10: 37440, 11: 37500, 12: 37519, 13: 37540, 14: 37556, 44: 37571, 45: 37575, 46: 37593, 47: 37800, 48: 37804, 65: 37811, 66: 37826, 67: 37841, 68: 37856, 69: 37871, 70: 37886, 71: 37901, 72: 37916, 73: 37931, 74: 37942}"
51,"{10: 39240, 11: 39300, 12: 39319, 13: 39340, 14: 39356, 44: 39371, 45: 39375, 46: 39393, 47: 39600, 48: 39604, 65: 39611, 66: 39626, 67: 39641, 68: 39656, 69: 39671, 70: 39686, 71: 39701, 72: 39716, 73: 39731, 74: 39742}"
87,"{58: 36420, 57: 36480, 56: 36491, 55: 36506, 54: 36521, 53: 36536, 52: 36551, 51: 36566, 50: 36581, 49: 36596, 43: 36611, 35: 36617, 42: 36620, 36: 36621, 37: 36624, 5: 36840, 6: 36860, 7: 36884, 8: 36907, 9: 36925}"
88,"{58: 38280, 57: 38340, 56: 38351, 55: 38366, 54: 38381, 53: 38396, 52: 38411, 51: 38426, 50: 38441, 49: 38456, 43: 38471, 35: 38477, 42: 38480, 36: 38481, 37: 38484, 5: 38640, 6: 38660, 7: 38684, 8: 38707, 9: 38725}"
138,"{10: 36480, 11: 36540, 12: 36559, 13: 36580, 14: 36596, 44: 36611, 45: 36615, 46: 36633, 47: 36840, 48: 36844, 65: 36851, 66: 36866, 67: 36881, 68: 36896, 69: 36911, 70: 36926, 71: 36941, 72: 36956, 73: 36971, 74: 36982}"
140,"{10: 38280, 11: 38340, 12: 38359, 13: 38380, 14: 38396, 44: 38411, 45: 38415, 46: 38433, 47: 38640, 48: 38644, 65: 38651, 66: 38666, 67: 38681, 68: 38696, 69: 38711, 70: 38726, 71: 38741, 72: 38756, 73: 38771, 74: 38782}"
143,"{58: 37260, 57: 37320, 56: 37331, 55: 37346, 54: 37361, 53: 37376, 52: 37391, 51: 37406, 50: 37421, 49: 37436, 43: 37451, 35: 37457, 42: 37460, 36: 37461, 37: 37464, 5: 37680, 6: 37700, 7: 37724, 8: 37747, 9: 37765}"
145,"{58: 39120, 57: 39180, 56: 39191, 55: 39206, 54: 39221, 53: 39236, 52: 39251, 51: 39266, 50: 39281, 49: 39296, 43: 39311, 35: 39317, 42: 39320, 36: 39321, 37: 39324, 5: 39480, 6: 39500, 7: 39524, 8: 39547, 9: 39565}"
215,"{92: 37800, 91: 37860, 90: 37882, 1: 37904, 86: 37984, 87: 38006, 2: 38066, 3: 38103, 4: 38138, 36: 38168, 37: 38171, 5: 38340, 6: 38365, 7: 38395, 8: 38424, 9: 38446}"
217,"{92: 38700, 91: 38760, 90: 38780, 1: 38800, 86: 38871, 87: 38890, 2: 38950, 3: 38983, 4: 39014, 36: 39041, 37: 39044, 5: 39240, 6: 39262, 7: 39288, 8: 39314, 9: 39334}"
219,"{92: 39180, 91: 39240, 90: 39265, 1: 39290, 86: 39382, 87: 39407, 2: 39467, 3: 39509, 4: 39550, 36: 39585, 37: 39588, 5: 39720, 6: 39748, 7: 39782, 8: 39815, 9: 39840}"
301,"{92: 37320, 91: 37380, 90: 37400, 1: 37420, 86: 37491, 87: 37510, 2: 37570, 3: 37603, 4: 37634, 36: 37661, 37: 37664, 5: 37920, 6: 37942, 7: 37968, 8: 37994, 9: 38014}"
306,"{10: 37620, 11: 37680, 12: 37707, 13: 37737, 14: 37760, 15: 37782, 38: 37811, 35: 37980, 34: 37983, 82: 38005, 81: 38051, 85: 38089, 84: 38149, 83: 38170, 16: 38186, 17: 38250, 88: 38263, 89: 38288, 93: 38313}"
308,"{10: 39420, 11: 39480, 12: 39504, 13: 39530, 14: 39550, 15: 39569, 38: 39595, 35: 39780, 34: 39783, 82: 39802, 81: 39842, 85: 39875, 84: 39935, 83: 39954, 16: 39968, 17: 40024, 88: 40035, 89: 40057, 93: 40079}"
355,"{10: 36720, 11: 36780, 12: 36807, 13: 36837, 14: 36860, 15: 36882, 38: 36911, 35: 37080, 34: 37083, 82: 37105, 81: 37151, 85: 37189, 84: 37249, 83: 37270, 16: 37286, 17: 37350, 88: 37363, 89: 37388, 93: 37413}"
356,"{92: 36840, 91: 36900, 90: 36925, 1: 36950, 86: 37042, 87: 37067, 2: 37127, 3: 37169, 4: 37210, 36: 37245, 37: 37248, 5: 37380, 6: 37408, 7: 37442, 8: 37475, 9: 37500}"
357,"{10: 38520, 11: 38580, 12: 38607, 13: 38637, 14: 38660, 15: 38682, 38: 38711, 35: 38880, 34: 38883, 82: 38905, 81: 38951, 85: 38989, 84: 39049, 83: 39070, 16: 39086, 17: 39150, 88: 39163, 89: 39188, 93: 39213}"
373,"{92: 37200, 91: 37260, 90: 37285, 1: 37310, 86: 37402, 87: 37427, 2: 37487, 3: 37529, 4: 37570, 36: 37605, 37: 37608, 5: 37698, 6: 37726, 7: 37760, 8: 37793, 9: 37818}"
375,"{92: 39120, 91: 39180, 90: 39205, 1: 39230, 86: 39322, 87: 39347, 2: 39407, 3: 39449, 4: 39490, 36: 39525, 37: 39528, 5: 39618, 6: 39646, 7: 39680, 8: 39713, 9: 39738}"
404,"{92: 36420, 91: 36480, 90: 36502, 1: 36524, 86: 36604, 87: 36626, 2: 36686, 3: 36723, 4: 36758, 36: 36788, 37: 36791, 5: 37020, 6: 37045, 7: 37075, 8: 37104, 9: 37126}"
