,stations
62,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
63,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
99,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
100,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
162,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
164,"{10: 'MADRID-NUEVOS-MINISTERIOS', 46: 'MADRID-CHAMARTIN', 74: 'MANOTERAS'}"
167,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
169,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 58: 'MANOTERAS'}"
231,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
232,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
233,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
234,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
255,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
257,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
323,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
325,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
327,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
330,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
332,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
422,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
427,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
468,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
470,"{9: 'MADRID-NUEVOS-MINISTERIOS', 37: 'MADRID-CHAMARTIN', 87: 'RAMON-Y-CAJAL', 92: 'PITIS'}"
471,"{10: 'MADRID-NUEVOS-MINISTERIOS', 38: 'MADRID-CHAMARTIN', 85: 'RAMON-Y-CAJAL', 93: 'PITIS'}"
