,begin_schedule
3,"{92: 12240, 91: 12300, 90: 12325, 1: 12350, 86: 12442, 87: 12467, 2: 12527, 3: 12569, 4: 12610, 36: 12645, 37: 12648, 5: 12738, 6: 12766, 7: 12800, 8: 12833, 9: 12858}"
4,"{10: 13800, 11: 13860, 12: 13887, 13: 13917, 14: 13940, 15: 13962, 38: 13991, 35: 14160, 34: 14163, 82: 14185, 81: 14231, 85: 14269, 84: 14329, 83: 14350, 16: 14366, 17: 14430, 88: 14443, 89: 14468, 93: 14493}"
26,"{92: 10980, 91: 11040, 90: 11062, 1: 11084, 86: 11164, 87: 11186, 2: 11246, 3: 11283, 4: 11318, 36: 11348, 37: 11351, 5: 11580, 6: 11605, 7: 11635, 8: 11664, 9: 11686}"
27,"{92: 12840, 91: 12900, 90: 12925, 1: 12950, 86: 13042, 87: 13067, 2: 13127, 3: 13169, 4: 13210, 36: 13245, 37: 13248, 5: 13380, 6: 13408, 7: 13442, 8: 13475, 9: 13500}"
36,"{10: 12420, 11: 12480, 12: 12499, 13: 12520, 14: 12536, 44: 12551, 45: 12555, 46: 12573, 47: 12780, 48: 12784, 65: 12791, 66: 12806, 67: 12821, 68: 12836, 69: 12851, 70: 12866, 71: 12881, 72: 12896, 73: 12911, 74: 12922}"
73,"{58: 10860, 57: 10920, 56: 10931, 55: 10946, 54: 10961, 53: 10976, 52: 10991, 51: 11006, 50: 11021, 49: 11036, 43: 11051, 35: 11057, 42: 11060, 36: 11061, 37: 11064, 5: 11220, 6: 11240, 7: 11264, 8: 11287, 9: 11305}"
74,"{58: 12600, 57: 12660, 56: 12671, 55: 12686, 54: 12701, 53: 12716, 52: 12731, 51: 12746, 50: 12761, 49: 12776, 43: 12791, 35: 12797, 42: 12800, 36: 12801, 37: 12804, 5: 12960, 6: 12980, 7: 13004, 8: 13027, 9: 13045}"
75,"{58: 14340, 57: 14400, 56: 14411, 55: 14426, 54: 14441, 53: 14456, 52: 14471, 51: 14486, 50: 14501, 49: 14516, 43: 14531, 35: 14537, 42: 14540, 36: 14541, 37: 14544, 5: 14700, 6: 14720, 7: 14744, 8: 14767, 9: 14785}"
110,"{10: 12120, 11: 12180, 12: 12199, 13: 12220, 14: 12236, 44: 12251, 45: 12255, 46: 12273, 47: 12480, 48: 12484, 65: 12491, 66: 12506, 67: 12521, 68: 12536, 69: 12551, 70: 12566, 71: 12581, 72: 12596, 73: 12611, 74: 12622}"
112,"{10: 13920, 11: 13980, 12: 13999, 13: 14020, 14: 14036, 44: 14051, 45: 14055, 46: 14073, 47: 14340, 48: 14344, 65: 14351, 66: 14366, 67: 14381, 68: 14396, 69: 14411, 70: 14426, 71: 14441, 72: 14456, 73: 14471, 74: 14482}"
115,"{58: 11640, 57: 11700, 56: 11711, 55: 11726, 54: 11741, 53: 11756, 52: 11771, 51: 11786, 50: 11801, 49: 11816, 43: 11831, 35: 11837, 42: 11840, 36: 11841, 37: 11844, 5: 12000, 6: 12020, 7: 12044, 8: 12067, 9: 12085}"
117,"{58: 13440, 57: 13500, 56: 13511, 55: 13526, 54: 13541, 53: 13556, 52: 13571, 51: 13586, 50: 13601, 49: 13616, 43: 13631, 35: 13637, 42: 13640, 36: 13641, 37: 13644, 5: 13800, 6: 13820, 7: 13844, 8: 13867, 9: 13885}"
190,"{10: 10860, 11: 10920, 12: 10941, 13: 10964, 14: 10982, 15: 10999, 38: 11022, 35: 11220, 34: 11223, 82: 11240, 81: 11275, 85: 11305, 84: 11365, 83: 11382, 16: 11394, 17: 11444, 88: 11454, 89: 11474, 93: 11494}"
