,current_route
3,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
4,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
26,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
27,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
36,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
73,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
74,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
75,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
110,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
112,"[0, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 94]"
115,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
117,"[0, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 43, 35, 42, 36, 37, 5, 6, 7, 8, 9, 94]"
190,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
192,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
193,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
194,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
242,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
273,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
275,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
276,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
278,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
280,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
342,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
343,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
344,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
369,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
372,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
374,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
387,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
388,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
389,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
390,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
391,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
434,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
435,"[0, 92, 91, 90, 1, 86, 87, 2, 3, 4, 36, 37, 5, 6, 7, 8, 9, 94]"
438,"[0, 10, 11, 12, 13, 14, 15, 38, 35, 34, 82, 81, 85, 84, 83, 16, 17, 88, 89, 93, 94]"
