,begin_schedule
8,"{10: 52500, 11: 52560, 12: 52587, 13: 52617, 14: 52640, 15: 52662, 38: 52691, 35: 52860, 34: 52863, 82: 52885, 81: 52931, 85: 52969, 84: 53029, 83: 53050, 16: 53066, 17: 53130, 88: 53143, 89: 53168, 93: 53193}"
32,"{92: 51480, 91: 51540, 90: 51565, 1: 51590, 86: 51682, 87: 51707, 2: 51767, 3: 51809, 4: 51850, 36: 51885, 37: 51888, 5: 52020, 6: 52048, 7: 52082, 8: 52115, 9: 52140}"
58,"{10: 51840, 11: 51900, 12: 51919, 13: 51940, 14: 51956, 44: 51971, 45: 51975, 46: 51993, 47: 52200, 48: 52204, 65: 52211, 66: 52226, 67: 52241, 68: 52256, 69: 52271, 70: 52286, 71: 52301, 72: 52316, 73: 52331, 74: 52342}"
59,"{10: 53640, 11: 53700, 12: 53719, 13: 53740, 14: 53756, 44: 53771, 45: 53775, 46: 53793, 47: 54000, 48: 54004, 65: 54011, 66: 54026, 67: 54041, 68: 54056, 69: 54071, 70: 54086, 71: 54101, 72: 54116, 73: 54131, 74: 54142}"
95,"{58: 50880, 57: 50940, 56: 50951, 55: 50966, 54: 50981, 53: 50996, 52: 51011, 51: 51026, 50: 51041, 49: 51056, 43: 51071, 35: 51077, 42: 51080, 36: 51081, 37: 51084, 5: 51300, 6: 51320, 7: 51344, 8: 51367, 9: 51385}"
96,"{58: 52620, 57: 52680, 56: 52691, 55: 52706, 54: 52721, 53: 52736, 52: 52751, 51: 52766, 50: 52781, 49: 52796, 43: 52811, 35: 52817, 42: 52820, 36: 52821, 37: 52824, 5: 53040, 6: 53060, 7: 53084, 8: 53107, 9: 53125}"
154,"{10: 50880, 11: 50940, 12: 50959, 13: 50980, 14: 50996, 44: 51011, 45: 51015, 46: 51033, 47: 51240, 48: 51244, 65: 51251, 66: 51266, 67: 51281, 68: 51296, 69: 51311, 70: 51326, 71: 51341, 72: 51356, 73: 51371, 74: 51382}"
156,"{10: 52620, 11: 52680, 12: 52699, 13: 52720, 14: 52736, 44: 52751, 45: 52755, 46: 52773, 47: 53040, 48: 53044, 65: 53051, 66: 53066, 67: 53081, 68: 53096, 69: 53111, 70: 53126, 71: 53141, 72: 53156, 73: 53171, 74: 53182}"
159,"{58: 51720, 57: 51780, 56: 51791, 55: 51806, 54: 51821, 53: 51836, 52: 51851, 51: 51866, 50: 51881, 49: 51896, 43: 51911, 35: 51917, 42: 51920, 36: 51921, 37: 51924, 5: 52140, 6: 52160, 7: 52184, 8: 52207, 9: 52225}"
161,"{58: 53460, 57: 53520, 56: 53531, 55: 53546, 54: 53561, 53: 53576, 52: 53591, 51: 53606, 50: 53621, 49: 53636, 43: 53651, 35: 53657, 42: 53660, 36: 53661, 37: 53664, 5: 53820, 6: 53840, 7: 53864, 8: 53887, 9: 53905}"
264,"{92: 51780, 91: 51840, 90: 51865, 1: 51890, 86: 51982, 87: 52007, 2: 52067, 3: 52109, 4: 52150, 36: 52185, 37: 52188, 5: 52320, 6: 52348, 7: 52382, 8: 52415, 9: 52440}"
315,"{92: 50400, 91: 50460, 90: 50485, 1: 50510, 86: 50602, 87: 50627, 2: 50687, 3: 50729, 4: 50770, 36: 50805, 37: 50808, 5: 50940, 6: 50968, 7: 51002, 8: 51035, 9: 51060}"
317,"{92: 52140, 91: 52200, 90: 52225, 1: 52250, 86: 52342, 87: 52367, 2: 52427, 3: 52469, 4: 52510, 36: 52545, 37: 52548, 5: 52680, 6: 52708, 7: 52742, 8: 52775, 9: 52800}"
319,"{92: 53940, 91: 54000, 90: 54025, 1: 54050, 86: 54142, 87: 54167, 2: 54227, 3: 54269, 4: 54310, 36: 54345, 37: 54348, 5: 54480, 6: 54508, 7: 54542, 8: 54575, 9: 54600}"
322,"{10: 52020, 11: 52080, 12: 52107, 13: 52137, 14: 52160, 15: 52182, 38: 52211, 35: 52380, 34: 52383, 82: 52405, 81: 52451, 85: 52489, 84: 52549, 83: 52570, 16: 52586, 17: 52650, 88: 52663, 89: 52688, 93: 52713}"
324,"{10: 53820, 11: 53880, 12: 53901, 13: 53924, 14: 53942, 15: 53959, 38: 53982, 35: 54180, 34: 54183, 82: 54200, 81: 54235, 85: 54265, 84: 54325, 83: 54342, 16: 54354, 17: 54404, 88: 54414, 89: 54434, 93: 54454}"
363,"{10: 51120, 11: 51180, 12: 51207, 13: 51237, 14: 51260, 15: 51282, 38: 51311, 35: 51480, 34: 51483, 82: 51505, 81: 51551, 85: 51589, 84: 51649, 83: 51670, 16: 51686, 17: 51750, 88: 51763, 89: 51788, 93: 51813}"
364,"{92: 51300, 91: 51360, 90: 51382, 1: 51404, 86: 51484, 87: 51506, 2: 51566, 3: 51603, 4: 51638, 36: 51668, 37: 51671, 5: 51840, 6: 51865, 7: 51895, 8: 51924, 9: 51946}"
365,"{10: 52920, 11: 52980, 12: 53007, 13: 53037, 14: 53060, 15: 53082, 38: 53111, 35: 53280, 34: 53283, 82: 53305, 81: 53351, 85: 53389, 84: 53449, 83: 53470, 16: 53486, 17: 53550, 88: 53563, 89: 53588, 93: 53613}"
366,"{92: 53100, 91: 53160, 90: 53180, 1: 53200, 86: 53271, 87: 53290, 2: 53350, 3: 53383, 4: 53414, 36: 53441, 37: 53444, 5: 53640, 6: 53662, 7: 53688, 8: 53714, 9: 53734}"
377,"{92: 50700, 91: 50760, 90: 50782, 1: 50804, 86: 50884, 87: 50906, 2: 50966, 3: 51003, 4: 51038, 36: 51068, 37: 51071, 5: 51180, 6: 51205, 7: 51235, 8: 51264, 9: 51286}"
378,"{92: 52500, 91: 52560, 90: 52585, 1: 52610, 86: 52702, 87: 52727, 2: 52787, 3: 52829, 4: 52870, 36: 52905, 37: 52908, 5: 52998, 6: 53026, 7: 53060, 8: 53093, 9: 53118}"
414,"{92: 50820, 91: 50880, 90: 50905, 1: 50930, 86: 51022, 87: 51047, 2: 51107, 3: 51149, 4: 51190, 36: 51225, 37: 51228, 5: 51420, 6: 51448, 7: 51482, 8: 51515, 9: 51540}"
416,"{92: 53520, 91: 53580, 90: 53602, 1: 53624, 86: 53704, 87: 53726, 2: 53786, 3: 53823, 4: 53858, 36: 53888, 37: 53891, 5: 54060, 6: 54085, 7: 54115, 8: 54144, 9: 54166}"
419,"{10: 50580, 11: 50640, 12: 50661, 13: 50684, 14: 50702, 15: 50719, 38: 50742, 35: 51000, 34: 51003, 82: 51020, 81: 51055, 85: 51085, 84: 51145, 83: 51162, 16: 51174, 17: 51224, 88: 51234, 89: 51254, 93: 51274}"
421,"{10: 52380, 11: 52440, 12: 52467, 13: 52497, 14: 52520, 15: 52542, 38: 52571, 35: 52740, 34: 52743, 82: 52765, 81: 52811, 85: 52849, 84: 52909, 83: 52930, 16: 52946, 17: 53010, 88: 53023, 89: 53048, 93: 53073}"
461,"{92: 52560, 91: 52620, 90: 52645, 1: 52670, 86: 52762, 87: 52787, 2: 52847, 3: 52889, 4: 52930, 36: 52965, 37: 52968, 5: 53160, 6: 53188, 7: 53222, 8: 53255, 9: 53280}"
465,"{10: 51420, 11: 51480, 12: 51507, 13: 51537, 14: 51560, 15: 51582, 38: 51611, 35: 51840, 34: 51843, 82: 51865, 81: 51911, 85: 51949, 84: 52009, 83: 52030, 16: 52046, 17: 52110, 88: 52123, 89: 52148, 93: 52173}"
467,"{10: 53280, 11: 53340, 12: 53364, 13: 53390, 14: 53410, 15: 53429, 38: 53455, 35: 53700, 34: 53703, 82: 53722, 81: 53762, 85: 53795, 84: 53855, 83: 53874, 16: 53888, 17: 53944, 88: 53955, 89: 53977, 93: 53999}"
