,planned_stop
46,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
47,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
83,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
84,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
130,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
132,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
135,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
137,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
213,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
214,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
216,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
252,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
293,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
296,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
298,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
350,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
400,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
401,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
447,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
448,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
