,begin_schedule
46,"{10: 30240, 11: 30300, 12: 30319, 13: 30340, 14: 30356, 44: 30371, 45: 30375, 46: 30393, 47: 30600, 48: 30604, 65: 30611, 66: 30626, 67: 30641, 68: 30656, 69: 30671, 70: 30686, 71: 30701, 72: 30716, 73: 30731, 74: 30742}"
47,"{10: 32160, 11: 32220, 12: 32239, 13: 32260, 14: 32276, 44: 32291, 45: 32295, 46: 32313, 47: 32520, 48: 32524, 65: 32531, 66: 32546, 67: 32561, 68: 32576, 69: 32591, 70: 32606, 71: 32621, 72: 32636, 73: 32651, 74: 32662}"
83,"{58: 29220, 57: 29280, 56: 29291, 55: 29306, 54: 29321, 53: 29336, 52: 29351, 51: 29366, 50: 29381, 49: 29396, 43: 29411, 35: 29417, 42: 29420, 36: 29421, 37: 29424, 5: 29640, 6: 29660, 7: 29684, 8: 29707, 9: 29725}"
84,"{58: 31020, 57: 31080, 56: 31091, 55: 31106, 54: 31121, 53: 31136, 52: 31151, 51: 31166, 50: 31181, 49: 31196, 43: 31211, 35: 31217, 42: 31220, 36: 31221, 37: 31224, 5: 31440, 6: 31460, 7: 31484, 8: 31507, 9: 31525}"
130,"{10: 29280, 11: 29340, 12: 29359, 13: 29380, 14: 29396, 44: 29411, 45: 29415, 46: 29433, 47: 29640, 48: 29644, 65: 29651, 66: 29666, 67: 29681, 68: 29696, 69: 29711, 70: 29726, 71: 29741, 72: 29756, 73: 29771, 74: 29782}"
132,"{10: 31080, 11: 31140, 12: 31159, 13: 31180, 14: 31196, 44: 31211, 45: 31215, 46: 31233, 47: 31440, 48: 31444, 65: 31451, 66: 31466, 67: 31481, 68: 31496, 69: 31511, 70: 31526, 71: 31541, 72: 31556, 73: 31571, 74: 31582}"
135,"{58: 30060, 57: 30120, 56: 30131, 55: 30146, 54: 30161, 53: 30176, 52: 30191, 51: 30206, 50: 30221, 49: 30236, 43: 30251, 35: 30257, 42: 30260, 36: 30261, 37: 30264, 5: 30480, 6: 30500, 7: 30524, 8: 30547, 9: 30565}"
137,"{58: 31800, 57: 31860, 56: 31871, 55: 31886, 54: 31901, 53: 31916, 52: 31931, 51: 31946, 50: 31961, 49: 31976, 43: 31991, 35: 31997, 42: 32000, 36: 32001, 37: 32004, 5: 32220, 6: 32240, 7: 32264, 8: 32287, 9: 32305}"
213,"{92: 29820, 91: 29880, 90: 29900, 1: 29920, 86: 29991, 87: 30010, 2: 30070, 3: 30103, 4: 30134, 36: 30161, 37: 30164, 5: 30360, 6: 30382, 7: 30408, 8: 30434, 9: 30454}"
214,"{10: 29460, 11: 29520, 12: 29547, 13: 29577, 14: 29600, 15: 29622, 38: 29651, 35: 29820, 34: 29823, 82: 29845, 81: 29891, 85: 29929, 84: 29989, 83: 30010, 16: 30026, 17: 30090, 88: 30103, 89: 30128, 93: 30153}"
216,"{10: 31260, 11: 31320, 12: 31341, 13: 31364, 14: 31382, 15: 31399, 38: 31422, 35: 31620, 34: 31623, 82: 31640, 81: 31675, 85: 31705, 84: 31765, 83: 31782, 16: 31794, 17: 31844, 88: 31854, 89: 31874, 93: 31894}"
252,"{92: 31920, 91: 31980, 90: 32000, 1: 32020, 86: 32091, 87: 32110, 2: 32170, 3: 32203, 4: 32234, 36: 32261, 37: 32264, 5: 32460, 6: 32482, 7: 32508, 8: 32534, 9: 32554}"
293,"{92: 30480, 91: 30540, 90: 30562, 1: 30584, 86: 30664, 87: 30686, 2: 30746, 3: 30783, 4: 30818, 36: 30848, 37: 30851, 5: 31020, 6: 31045, 7: 31075, 8: 31104, 9: 31126}"
296,"{10: 28800, 11: 28860, 12: 28884, 13: 28910, 14: 28930, 15: 28949, 38: 28975, 35: 29160, 34: 29163, 82: 29182, 81: 29222, 85: 29255, 84: 29315, 83: 29334, 16: 29348, 17: 29404, 88: 29415, 89: 29437, 93: 29459}"
298,"{10: 30480, 11: 30540, 12: 30567, 13: 30597, 14: 30620, 15: 30642, 38: 30671, 35: 30840, 34: 30843, 82: 30865, 81: 30911, 85: 30949, 84: 31009, 83: 31030, 16: 31046, 17: 31110, 88: 31123, 89: 31148, 93: 31173}"
350,"{92: 31440, 91: 31500, 90: 31520, 1: 31540, 86: 31611, 87: 31630, 2: 31690, 3: 31723, 4: 31754, 36: 31781, 37: 31784, 5: 31980, 6: 32002, 7: 32028, 8: 32054, 9: 32074}"
400,"{92: 29220, 91: 29280, 90: 29305, 1: 29330, 86: 29422, 87: 29447, 2: 29507, 3: 29549, 4: 29590, 36: 29625, 37: 29628, 5: 29820, 6: 29848, 7: 29882, 8: 29915, 9: 29940}"
401,"{10: 31740, 11: 31800, 12: 31824, 13: 31850, 14: 31870, 15: 31889, 38: 31915, 35: 32100, 34: 32103, 82: 32122, 81: 32162, 85: 32195, 84: 32255, 83: 32274, 16: 32288, 17: 32344, 88: 32355, 89: 32377, 93: 32399}"
447,"{92: 30960, 91: 31020, 90: 31040, 1: 31060, 86: 31131, 87: 31150, 2: 31210, 3: 31243, 4: 31274, 36: 31301, 37: 31304, 5: 31560, 6: 31582, 7: 31608, 8: 31634, 9: 31654}"
448,"{10: 29880, 11: 29940, 12: 29961, 13: 29984, 14: 30002, 15: 30019, 38: 30042, 35: 30240, 34: 30243, 82: 30260, 81: 30295, 85: 30325, 84: 30385, 83: 30402, 16: 30414, 17: 30464, 88: 30474, 89: 30494, 93: 30514}"
