,end_schedule
13,"{10: 19201, 11: 19225, 12: 19251, 13: 19271, 14: 19290, 15: 19316, 38: 19441, 35: 19444, 34: 19463, 82: 19503, 81: 19536, 85: 19596, 84: 19615, 83: 19629, 16: 19685, 17: 19696, 88: 19718, 89: 19740, 93: 19799}"
40,"{10: 19441, 11: 19460, 12: 19481, 13: 19497, 14: 19512, 44: 19516, 45: 19534, 46: 19681, 47: 19685, 48: 19692, 65: 19707, 66: 19722, 67: 19737, 68: 19752, 69: 19767, 70: 19782, 71: 19797, 72: 19812, 73: 19823, 74: 19882}"
41,"{10: 21241, 11: 21260, 12: 21281, 13: 21297, 14: 21312, 44: 21316, 45: 21334, 46: 21481, 47: 21485, 48: 21492, 65: 21507, 66: 21522, 67: 21537, 68: 21552, 69: 21567, 70: 21582, 71: 21597, 72: 21612, 73: 21623, 74: 21682}"
77,"{58: 18181, 57: 18192, 56: 18207, 55: 18222, 54: 18237, 53: 18252, 52: 18267, 51: 18282, 50: 18297, 49: 18312, 43: 18318, 35: 18321, 42: 18322, 36: 18325, 37: 18481, 5: 18501, 6: 18525, 7: 18548, 8: 18566, 9: 18625}"
78,"{58: 20341, 57: 20352, 56: 20367, 55: 20382, 54: 20397, 53: 20412, 52: 20427, 51: 20442, 50: 20457, 49: 20472, 43: 20478, 35: 20481, 42: 20482, 36: 20485, 37: 20701, 5: 20721, 6: 20745, 7: 20768, 8: 20786, 9: 20845}"
118,"{10: 18541, 11: 18560, 12: 18581, 13: 18597, 14: 18612, 44: 18616, 45: 18634, 46: 18841, 47: 18845, 48: 18852, 65: 18867, 66: 18882, 67: 18897, 68: 18912, 69: 18927, 70: 18942, 71: 18957, 72: 18972, 73: 18983, 74: 19042}"
120,"{10: 20101, 11: 20120, 12: 20141, 13: 20157, 14: 20172, 44: 20176, 45: 20194, 46: 20461, 47: 20465, 48: 20472, 65: 20487, 66: 20502, 67: 20517, 68: 20532, 69: 20547, 70: 20562, 71: 20577, 72: 20592, 73: 20603, 74: 20662}"
123,"{58: 19321, 57: 19332, 56: 19347, 55: 19362, 54: 19377, 53: 19392, 52: 19407, 51: 19422, 50: 19437, 49: 19452, 43: 19458, 35: 19461, 42: 19462, 36: 19465, 37: 19681, 5: 19701, 6: 19725, 7: 19748, 8: 19766, 9: 19825}"
125,"{58: 21121, 57: 21132, 56: 21147, 55: 21162, 54: 21177, 53: 21192, 52: 21207, 51: 21222, 50: 21237, 49: 21252, 43: 21258, 35: 21261, 42: 21262, 36: 21265, 37: 21481, 5: 21501, 6: 21525, 7: 21548, 8: 21566, 9: 21625}"
201,"{92: 19081, 91: 19106, 90: 19131, 1: 19223, 86: 19248, 87: 19308, 2: 19350, 3: 19391, 4: 19426, 36: 19429, 37: 19561, 5: 19589, 6: 19623, 7: 19656, 8: 19681, 9: 19740}"
202,"{92: 19561, 91: 19586, 90: 19611, 1: 19703, 86: 19728, 87: 19788, 2: 19830, 3: 19871, 4: 19906, 36: 19909, 37: 20041, 5: 20069, 6: 20103, 7: 20136, 8: 20161, 9: 20220}"
203,"{92: 20881, 91: 20906, 90: 20931, 1: 21023, 86: 21048, 87: 21108, 2: 21150, 3: 21191, 4: 21226, 36: 21229, 37: 21361, 5: 21389, 6: 21423, 7: 21456, 8: 21481, 9: 21540}"
204,"{10: 19861, 11: 19885, 12: 19911, 13: 19931, 14: 19950, 15: 19976, 38: 20161, 35: 20164, 34: 20183, 82: 20223, 81: 20256, 85: 20316, 84: 20335, 83: 20349, 16: 20405, 17: 20416, 88: 20438, 89: 20460, 93: 20519}"
247,"{10: 18301, 11: 18322, 12: 18345, 13: 18363, 14: 18380, 15: 18403, 38: 18601, 35: 18604, 34: 18621, 82: 18656, 81: 18686, 85: 18746, 84: 18763, 83: 18775, 16: 18825, 17: 18835, 88: 18855, 89: 18875, 93: 18934}"
249,"{10: 20281, 11: 20308, 12: 20338, 13: 20361, 14: 20383, 15: 20412, 38: 20581, 35: 20584, 34: 20606, 82: 20652, 81: 20690, 85: 20750, 84: 20771, 83: 20787, 16: 20851, 17: 20864, 88: 20889, 89: 20914, 93: 20973}"
281,"{92: 19561, 91: 19586, 90: 19611, 1: 19703, 86: 19728, 87: 19788, 2: 19830, 3: 19871, 4: 19906, 36: 19909, 37: 20101, 5: 20129, 6: 20163, 7: 20196, 8: 20221, 9: 20280}"
283,"{92: 21481, 91: 21506, 90: 21531, 1: 21623, 86: 21648, 87: 21708, 2: 21750, 3: 21791, 4: 21826, 36: 21829, 37: 21961, 5: 21989, 6: 22023, 7: 22056, 8: 22081, 9: 22140}"
286,"{10: 19561, 11: 19588, 12: 19618, 13: 19641, 14: 19663, 15: 19692, 38: 19861, 35: 19864, 34: 19886, 82: 19932, 81: 19970, 85: 20030, 84: 20051, 83: 20067, 16: 20131, 17: 20144, 88: 20169, 89: 20194, 93: 20253}"
349,"{10: 18661, 11: 18688, 12: 18718, 13: 18741, 14: 18763, 15: 18792, 38: 18961, 35: 18964, 34: 18986, 82: 19032, 81: 19070, 85: 19130, 84: 19151, 83: 19167, 16: 19231, 17: 19244, 88: 19269, 89: 19294, 93: 19353}"
351,"{10: 20461, 11: 20488, 12: 20518, 13: 20541, 14: 20563, 15: 20592, 38: 20761, 35: 20764, 34: 20786, 82: 20832, 81: 20870, 85: 20930, 84: 20951, 83: 20967, 16: 21031, 17: 21044, 88: 21069, 89: 21094, 93: 21153}"
394,"{10: 20941, 11: 20968, 12: 20998, 13: 21021, 14: 21043, 15: 21072, 38: 21241, 35: 21244, 34: 21266, 82: 21312, 81: 21350, 85: 21410, 84: 21431, 83: 21447, 16: 21511, 17: 21524, 88: 21549, 89: 21574, 93: 21633}"
395,"{92: 18421, 91: 18446, 90: 18471, 1: 18563, 86: 18588, 87: 18648, 2: 18690, 3: 18731, 4: 18766, 36: 18769, 37: 18961, 5: 18989, 6: 19023, 7: 19056, 8: 19081, 9: 19140}"
440,"{92: 20221, 91: 20246, 90: 20271, 1: 20363, 86: 20388, 87: 20448, 2: 20490, 3: 20531, 4: 20566, 36: 20569, 37: 20761, 5: 20789, 6: 20823, 7: 20856, 8: 20881, 9: 20940}"
443,"{10: 19081, 11: 19105, 12: 19131, 13: 19151, 14: 19170, 15: 19196, 38: 19381, 35: 19384, 34: 19403, 82: 19443, 81: 19476, 85: 19536, 84: 19555, 83: 19569, 16: 19625, 17: 19636, 88: 19658, 89: 19680, 93: 19739}"
