,begin_schedule
13,"{10: 19140, 11: 19200, 12: 19224, 13: 19250, 14: 19270, 15: 19289, 38: 19315, 35: 19440, 34: 19443, 82: 19462, 81: 19502, 85: 19535, 84: 19595, 83: 19614, 16: 19628, 17: 19684, 88: 19695, 89: 19717, 93: 19739}"
40,"{10: 19380, 11: 19440, 12: 19459, 13: 19480, 14: 19496, 44: 19511, 45: 19515, 46: 19533, 47: 19680, 48: 19684, 65: 19691, 66: 19706, 67: 19721, 68: 19736, 69: 19751, 70: 19766, 71: 19781, 72: 19796, 73: 19811, 74: 19822}"
41,"{10: 21180, 11: 21240, 12: 21259, 13: 21280, 14: 21296, 44: 21311, 45: 21315, 46: 21333, 47: 21480, 48: 21484, 65: 21491, 66: 21506, 67: 21521, 68: 21536, 69: 21551, 70: 21566, 71: 21581, 72: 21596, 73: 21611, 74: 21622}"
77,"{58: 18120, 57: 18180, 56: 18191, 55: 18206, 54: 18221, 53: 18236, 52: 18251, 51: 18266, 50: 18281, 49: 18296, 43: 18311, 35: 18317, 42: 18320, 36: 18321, 37: 18324, 5: 18480, 6: 18500, 7: 18524, 8: 18547, 9: 18565}"
78,"{58: 20280, 57: 20340, 56: 20351, 55: 20366, 54: 20381, 53: 20396, 52: 20411, 51: 20426, 50: 20441, 49: 20456, 43: 20471, 35: 20477, 42: 20480, 36: 20481, 37: 20484, 5: 20700, 6: 20720, 7: 20744, 8: 20767, 9: 20785}"
118,"{10: 18480, 11: 18540, 12: 18559, 13: 18580, 14: 18596, 44: 18611, 45: 18615, 46: 18633, 47: 18840, 48: 18844, 65: 18851, 66: 18866, 67: 18881, 68: 18896, 69: 18911, 70: 18926, 71: 18941, 72: 18956, 73: 18971, 74: 18982}"
120,"{10: 20040, 11: 20100, 12: 20119, 13: 20140, 14: 20156, 44: 20171, 45: 20175, 46: 20193, 47: 20460, 48: 20464, 65: 20471, 66: 20486, 67: 20501, 68: 20516, 69: 20531, 70: 20546, 71: 20561, 72: 20576, 73: 20591, 74: 20602}"
123,"{58: 19260, 57: 19320, 56: 19331, 55: 19346, 54: 19361, 53: 19376, 52: 19391, 51: 19406, 50: 19421, 49: 19436, 43: 19451, 35: 19457, 42: 19460, 36: 19461, 37: 19464, 5: 19680, 6: 19700, 7: 19724, 8: 19747, 9: 19765}"
125,"{58: 21060, 57: 21120, 56: 21131, 55: 21146, 54: 21161, 53: 21176, 52: 21191, 51: 21206, 50: 21221, 49: 21236, 43: 21251, 35: 21257, 42: 21260, 36: 21261, 37: 21264, 5: 21480, 6: 21500, 7: 21524, 8: 21547, 9: 21565}"
201,"{92: 19020, 91: 19080, 90: 19105, 1: 19130, 86: 19222, 87: 19247, 2: 19307, 3: 19349, 4: 19390, 36: 19425, 37: 19428, 5: 19560, 6: 19588, 7: 19622, 8: 19655, 9: 19680}"
