,begin_schedule
6,"{92: 42660, 91: 42720, 90: 42742, 1: 42764, 86: 42844, 87: 42866, 2: 42926, 3: 42963, 4: 42998, 36: 43028, 37: 43031, 5: 43140, 6: 43165, 7: 43195, 8: 43224, 9: 43246}"
18,"{92: 41760, 91: 41820, 90: 41840, 1: 41860, 86: 41931, 87: 41950, 2: 42010, 3: 42043, 4: 42074, 36: 42101, 37: 42104, 5: 42240, 6: 42262, 7: 42288, 8: 42314, 9: 42334}"
20,"{10: 40740, 11: 40800, 12: 40824, 13: 40850, 14: 40870, 15: 40889, 38: 40915, 35: 41040, 34: 41043, 82: 41062, 81: 41102, 85: 41135, 84: 41195, 83: 41214, 16: 41228, 17: 41284, 88: 41295, 89: 41317, 93: 41339}"
52,"{10: 41040, 11: 41100, 12: 41119, 13: 41140, 14: 41156, 44: 41171, 45: 41175, 46: 41193, 47: 41400, 48: 41404, 65: 41411, 66: 41426, 67: 41441, 68: 41456, 69: 41471, 70: 41486, 71: 41501, 72: 41516, 73: 41531, 74: 41542}"
53,"{10: 42840, 11: 42900, 12: 42919, 13: 42940, 14: 42956, 44: 42971, 45: 42975, 46: 42993, 47: 43200, 48: 43204, 65: 43211, 66: 43226, 67: 43241, 68: 43256, 69: 43271, 70: 43286, 71: 43301, 72: 43316, 73: 43331, 74: 43342}"
89,"{58: 40080, 57: 40140, 56: 40151, 55: 40166, 54: 40181, 53: 40196, 52: 40211, 51: 40226, 50: 40241, 49: 40256, 43: 40271, 35: 40277, 42: 40280, 36: 40281, 37: 40284, 5: 40500, 6: 40520, 7: 40544, 8: 40567, 9: 40585}"
90,"{58: 41880, 57: 41940, 56: 41951, 55: 41966, 54: 41981, 53: 41996, 52: 42011, 51: 42026, 50: 42041, 49: 42056, 43: 42071, 35: 42077, 42: 42080, 36: 42081, 37: 42084, 5: 42300, 6: 42320, 7: 42344, 8: 42367, 9: 42385}"
142,"{10: 40080, 11: 40140, 12: 40159, 13: 40180, 14: 40196, 44: 40211, 45: 40215, 46: 40233, 47: 40440, 48: 40444, 65: 40451, 66: 40466, 67: 40481, 68: 40496, 69: 40511, 70: 40526, 71: 40541, 72: 40556, 73: 40571, 74: 40582}"
144,"{10: 41880, 11: 41940, 12: 41959, 13: 41980, 14: 41996, 44: 42011, 45: 42015, 46: 42033, 47: 42240, 48: 42244, 65: 42251, 66: 42266, 67: 42281, 68: 42296, 69: 42311, 70: 42326, 71: 42341, 72: 42356, 73: 42371, 74: 42382}"
147,"{58: 40860, 57: 40920, 56: 40931, 55: 40946, 54: 40961, 53: 40976, 52: 40991, 51: 41006, 50: 41021, 49: 41036, 43: 41051, 35: 41057, 42: 41060, 36: 41061, 37: 41064, 5: 41220, 6: 41240, 7: 41264, 8: 41287, 9: 41305}"
