,begin_schedule
9,"{92: 61560, 91: 61620, 90: 61645, 1: 61670, 86: 61762, 87: 61787, 2: 61847, 3: 61889, 4: 61930, 36: 61965, 37: 61968, 5: 62058, 6: 62086, 7: 62120, 8: 62153, 9: 62178}"
23,"{92: 63240, 91: 63300, 90: 63325, 1: 63350, 86: 63442, 87: 63467, 2: 63527, 3: 63569, 4: 63610, 36: 63645, 37: 63648, 5: 63738, 6: 63766, 7: 63800, 8: 63833, 9: 63858}"
64,"{10: 62700, 11: 62760, 12: 62779, 13: 62800, 14: 62816, 44: 62831, 45: 62835, 46: 62853, 47: 63060, 48: 63064, 65: 63071, 66: 63086, 67: 63101, 68: 63116, 69: 63131, 70: 63146, 71: 63161, 72: 63176, 73: 63191, 74: 63202}"
65,"{10: 64440, 11: 64500, 12: 64519, 13: 64540, 14: 64556, 44: 64571, 45: 64575, 46: 64593, 47: 64800, 48: 64804, 65: 64811, 66: 64826, 67: 64841, 68: 64856, 69: 64871, 70: 64886, 71: 64901, 72: 64916, 73: 64931, 74: 64942}"
101,"{58: 61680, 57: 61740, 56: 61751, 55: 61766, 54: 61781, 53: 61796, 52: 61811, 51: 61826, 50: 61841, 49: 61856, 43: 61871, 35: 61877, 42: 61880, 36: 61881, 37: 61884, 5: 62040, 6: 62060, 7: 62084, 8: 62107, 9: 62125}"
102,"{58: 63480, 57: 63540, 56: 63551, 55: 63566, 54: 63581, 53: 63596, 52: 63611, 51: 63626, 50: 63641, 49: 63656, 43: 63671, 35: 63677, 42: 63680, 36: 63681, 37: 63684, 5: 63840, 6: 63860, 7: 63884, 8: 63907, 9: 63925}"
166,"{10: 61620, 11: 61680, 12: 61699, 13: 61720, 14: 61736, 44: 61751, 45: 61755, 46: 61773, 47: 61980, 48: 61984, 65: 61991, 66: 62006, 67: 62021, 68: 62036, 69: 62051, 70: 62066, 71: 62081, 72: 62096, 73: 62111, 74: 62122}"
168,"{10: 63420, 11: 63480, 12: 63499, 13: 63520, 14: 63536, 44: 63551, 45: 63555, 46: 63573, 47: 63780, 48: 63784, 65: 63791, 66: 63806, 67: 63821, 68: 63836, 69: 63851, 70: 63866, 71: 63881, 72: 63896, 73: 63911, 74: 63922}"
171,"{58: 62400, 57: 62460, 56: 62471, 55: 62486, 54: 62501, 53: 62516, 52: 62531, 51: 62546, 50: 62561, 49: 62576, 43: 62591, 35: 62597, 42: 62600, 36: 62601, 37: 62604, 5: 62760, 6: 62780, 7: 62804, 8: 62827, 9: 62845}"
173,"{58: 64260, 57: 64320, 56: 64331, 55: 64346, 54: 64361, 53: 64376, 52: 64391, 51: 64406, 50: 64421, 49: 64436, 43: 64451, 35: 64457, 42: 64460, 36: 64461, 37: 64464, 5: 64620, 6: 64640, 7: 64664, 8: 64687, 9: 64705}"
235,"{10: 61920, 11: 61980, 12: 62004, 13: 62030, 14: 62050, 15: 62069, 38: 62095, 35: 62280, 34: 62283, 82: 62302, 81: 62342, 85: 62375, 84: 62435, 83: 62454, 16: 62468, 17: 62524, 88: 62535, 89: 62557, 93: 62579}"
236,"{10: 63720, 11: 63780, 12: 63807, 13: 63837, 14: 63860, 15: 63882, 38: 63911, 35: 64080, 34: 64083, 82: 64105, 81: 64151, 85: 64189, 84: 64249, 83: 64270, 16: 64286, 17: 64350, 88: 64363, 89: 64388, 93: 64413}"
259,"{10: 61380, 11: 61440, 12: 61467, 13: 61497, 14: 61520, 15: 61542, 38: 61571, 35: 61740, 34: 61743, 82: 61765, 81: 61811, 85: 61849, 84: 61909, 83: 61930, 16: 61946, 17: 62010, 88: 62023, 89: 62048, 93: 62073}"
329,"{92: 62880, 91: 62940, 90: 62962, 1: 62984, 86: 63064, 87: 63086, 2: 63146, 3: 63183, 4: 63218, 36: 63248, 37: 63251, 5: 63420, 6: 63445, 7: 63475, 8: 63504, 9: 63526}"
331,"{92: 64620, 91: 64680, 90: 64702, 1: 64724, 86: 64804, 87: 64826, 2: 64886, 3: 64923, 4: 64958, 36: 64988, 37: 64991, 5: 65160, 6: 65185, 7: 65215, 8: 65244, 9: 65266}"
334,"{10: 62940, 11: 63000, 12: 63021, 13: 63044, 14: 63062, 15: 63079, 38: 63102, 35: 63300, 34: 63303, 82: 63320, 81: 63355, 85: 63385, 84: 63445, 83: 63462, 16: 63474, 17: 63524, 88: 63534, 89: 63554, 93: 63574}"
424,"{92: 61680, 91: 61740, 90: 61765, 1: 61790, 86: 61882, 87: 61907, 2: 61967, 3: 62009, 4: 62050, 36: 62085, 37: 62088, 5: 62280, 6: 62308, 7: 62342, 8: 62375, 9: 62400}"
428,"{10: 64080, 11: 64140, 12: 64167, 13: 64197, 14: 64220, 15: 64242, 38: 64271, 35: 64500, 34: 64503, 82: 64525, 81: 64571, 85: 64609, 84: 64669, 83: 64690, 16: 64706, 17: 64770, 88: 64783, 89: 64808, 93: 64833}"
472,"{92: 63480, 91: 63540, 90: 63562, 1: 63584, 86: 63664, 87: 63686, 2: 63746, 3: 63783, 4: 63818, 36: 63848, 37: 63851, 5: 64020, 6: 64045, 7: 64075, 8: 64104, 9: 64126}"
473,"{10: 62400, 11: 62460, 12: 62487, 13: 62517, 14: 62540, 15: 62562, 38: 62591, 35: 62760, 34: 62763, 82: 62785, 81: 62831, 85: 62869, 84: 62929, 83: 62950, 16: 62966, 17: 63030, 88: 63043, 89: 63068, 93: 63093}"
