,end_schedule
9,"{92: 61621, 91: 61646, 90: 61671, 1: 61763, 86: 61788, 87: 61848, 2: 61890, 3: 61931, 4: 61966, 36: 61969, 37: 62059, 5: 62087, 6: 62121, 7: 62154, 8: 62179, 9: 62238}"
23,"{92: 63301, 91: 63326, 90: 63351, 1: 63443, 86: 63468, 87: 63528, 2: 63570, 3: 63611, 4: 63646, 36: 63649, 37: 63739, 5: 63767, 6: 63801, 7: 63834, 8: 63859, 9: 63918}"
64,"{10: 62761, 11: 62780, 12: 62801, 13: 62817, 14: 62832, 44: 62836, 45: 62854, 46: 63061, 47: 63065, 48: 63072, 65: 63087, 66: 63102, 67: 63117, 68: 63132, 69: 63147, 70: 63162, 71: 63177, 72: 63192, 73: 63203, 74: 63262}"
65,"{10: 64501, 11: 64520, 12: 64541, 13: 64557, 14: 64572, 44: 64576, 45: 64594, 46: 64801, 47: 64805, 48: 64812, 65: 64827, 66: 64842, 67: 64857, 68: 64872, 69: 64887, 70: 64902, 71: 64917, 72: 64932, 73: 64943, 74: 65002}"
101,"{58: 61741, 57: 61752, 56: 61767, 55: 61782, 54: 61797, 53: 61812, 52: 61827, 51: 61842, 50: 61857, 49: 61872, 43: 61878, 35: 61881, 42: 61882, 36: 61885, 37: 62041, 5: 62061, 6: 62085, 7: 62108, 8: 62126, 9: 62185}"
102,"{58: 63541, 57: 63552, 56: 63567, 55: 63582, 54: 63597, 53: 63612, 52: 63627, 51: 63642, 50: 63657, 49: 63672, 43: 63678, 35: 63681, 42: 63682, 36: 63685, 37: 63841, 5: 63861, 6: 63885, 7: 63908, 8: 63926, 9: 63985}"
166,"{10: 61681, 11: 61700, 12: 61721, 13: 61737, 14: 61752, 44: 61756, 45: 61774, 46: 61981, 47: 61985, 48: 61992, 65: 62007, 66: 62022, 67: 62037, 68: 62052, 69: 62067, 70: 62082, 71: 62097, 72: 62112, 73: 62123, 74: 62182}"
168,"{10: 63481, 11: 63500, 12: 63521, 13: 63537, 14: 63552, 44: 63556, 45: 63574, 46: 63781, 47: 63785, 48: 63792, 65: 63807, 66: 63822, 67: 63837, 68: 63852, 69: 63867, 70: 63882, 71: 63897, 72: 63912, 73: 63923, 74: 63982}"
171,"{58: 62461, 57: 62472, 56: 62487, 55: 62502, 54: 62517, 53: 62532, 52: 62547, 51: 62562, 50: 62577, 49: 62592, 43: 62598, 35: 62601, 42: 62602, 36: 62605, 37: 62761, 5: 62781, 6: 62805, 7: 62828, 8: 62846, 9: 62905}"
173,"{58: 64321, 57: 64332, 56: 64347, 55: 64362, 54: 64377, 53: 64392, 52: 64407, 51: 64422, 50: 64437, 49: 64452, 43: 64458, 35: 64461, 42: 64462, 36: 64465, 37: 64621, 5: 64641, 6: 64665, 7: 64688, 8: 64706, 9: 64765}"
235,"{10: 61981, 11: 62005, 12: 62031, 13: 62051, 14: 62070, 15: 62096, 38: 62281, 35: 62284, 34: 62303, 82: 62343, 81: 62376, 85: 62436, 84: 62455, 83: 62469, 16: 62525, 17: 62536, 88: 62558, 89: 62580, 93: 62639}"
236,"{10: 63781, 11: 63808, 12: 63838, 13: 63861, 14: 63883, 15: 63912, 38: 64081, 35: 64084, 34: 64106, 82: 64152, 81: 64190, 85: 64250, 84: 64271, 83: 64287, 16: 64351, 17: 64364, 88: 64389, 89: 64414, 93: 64473}"
259,"{10: 61441, 11: 61468, 12: 61498, 13: 61521, 14: 61543, 15: 61572, 38: 61741, 35: 61744, 34: 61766, 82: 61812, 81: 61850, 85: 61910, 84: 61931, 83: 61947, 16: 62011, 17: 62024, 88: 62049, 89: 62074, 93: 62133}"
329,"{92: 62941, 91: 62963, 90: 62985, 1: 63065, 86: 63087, 87: 63147, 2: 63184, 3: 63219, 4: 63249, 36: 63252, 37: 63421, 5: 63446, 6: 63476, 7: 63505, 8: 63527, 9: 63586}"
331,"{92: 64681, 91: 64703, 90: 64725, 1: 64805, 86: 64827, 87: 64887, 2: 64924, 3: 64959, 4: 64989, 36: 64992, 37: 65161, 5: 65186, 6: 65216, 7: 65245, 8: 65267, 9: 65326}"
334,"{10: 63001, 11: 63022, 12: 63045, 13: 63063, 14: 63080, 15: 63103, 38: 63301, 35: 63304, 34: 63321, 82: 63356, 81: 63386, 85: 63446, 84: 63463, 83: 63475, 16: 63525, 17: 63535, 88: 63555, 89: 63575, 93: 63634}"
424,"{92: 61741, 91: 61766, 90: 61791, 1: 61883, 86: 61908, 87: 61968, 2: 62010, 3: 62051, 4: 62086, 36: 62089, 37: 62281, 5: 62309, 6: 62343, 7: 62376, 8: 62401, 9: 62460}"
428,"{10: 64141, 11: 64168, 12: 64198, 13: 64221, 14: 64243, 15: 64272, 38: 64501, 35: 64504, 34: 64526, 82: 64572, 81: 64610, 85: 64670, 84: 64691, 83: 64707, 16: 64771, 17: 64784, 88: 64809, 89: 64834, 93: 64893}"
472,"{92: 63541, 91: 63563, 90: 63585, 1: 63665, 86: 63687, 87: 63747, 2: 63784, 3: 63819, 4: 63849, 36: 63852, 37: 64021, 5: 64046, 6: 64076, 7: 64105, 8: 64127, 9: 64186}"
473,"{10: 62461, 11: 62488, 12: 62518, 13: 62541, 14: 62563, 15: 62592, 38: 62761, 35: 62764, 34: 62786, 82: 62832, 81: 62870, 85: 62930, 84: 62951, 83: 62967, 16: 63031, 17: 63044, 88: 63069, 89: 63094, 93: 63153}"
