,end_schedule
2,"{10: 5641, 11: 5668, 12: 5698, 13: 5721, 14: 5743, 15: 5772, 38: 5941, 35: 5944, 34: 5966, 82: 6012, 81: 6050, 85: 6110, 84: 6131, 83: 6147, 16: 6211, 17: 6224, 88: 6249, 89: 6274, 93: 6333}"
33,"{10: 6241, 11: 6260, 12: 6281, 13: 6297, 14: 6312, 44: 6316, 45: 6334, 46: 6601, 47: 6605, 48: 6612, 65: 6627, 66: 6642, 67: 6657, 68: 6672, 69: 6687, 70: 6702, 71: 6717, 72: 6732, 73: 6743, 74: 6802}"
69,"{58: 4021, 57: 4032, 56: 4047, 55: 4062, 54: 4077, 53: 4092, 52: 4107, 51: 4122, 50: 4137, 49: 4152, 43: 4158, 35: 4161, 42: 4162, 36: 4165, 37: 4321, 5: 4341, 6: 4365, 7: 4388, 8: 4406, 9: 4465}"
70,"{58: 5521, 57: 5532, 56: 5547, 55: 5562, 54: 5577, 53: 5592, 52: 5607, 51: 5622, 50: 5637, 49: 5652, 43: 5658, 35: 5661, 42: 5662, 36: 5665, 37: 5821, 5: 5841, 6: 5865, 7: 5888, 8: 5906, 9: 5965}"
104,"{10: 4501, 11: 4520, 12: 4541, 13: 4557, 14: 4572, 44: 4576, 45: 4594, 46: 4801, 47: 4805, 48: 4812, 65: 4827, 66: 4842, 67: 4857, 68: 4872, 69: 4887, 70: 4902, 71: 4917, 72: 4932, 73: 4943, 74: 5002}"
107,"{58: 4621, 57: 4632, 56: 4647, 55: 4662, 54: 4677, 53: 4692, 52: 4707, 51: 4722, 50: 4737, 49: 4752, 43: 4758, 35: 4761, 42: 4762, 36: 4765, 37: 4921, 5: 4941, 6: 4965, 7: 4988, 8: 5006, 9: 5065}"
109,"{58: 6061, 57: 6072, 56: 6087, 55: 6102, 54: 6117, 53: 6132, 52: 6147, 51: 6162, 50: 6177, 49: 6192, 43: 6198, 35: 6201, 42: 6202, 36: 6205, 37: 6361, 5: 6381, 6: 6405, 7: 6428, 8: 6446, 9: 6505}"
178,"{10: 5221, 11: 5245, 12: 5271, 13: 5291, 14: 5310, 15: 5336, 38: 5521, 35: 5524, 34: 5543, 82: 5583, 81: 5616, 85: 5676, 84: 5695, 83: 5709, 16: 5765, 17: 5776, 88: 5798, 89: 5820, 93: 5879}"
180,"{10: 6421, 11: 6448, 12: 6478, 13: 6501, 14: 6523, 15: 6552, 38: 6721, 35: 6724, 34: 6746, 82: 6792, 81: 6830, 85: 6890, 84: 6911, 83: 6927, 16: 6991, 17: 7004, 88: 7029, 89: 7054, 93: 7113}"
181,"{92: 3661, 91: 3681, 90: 3701, 1: 3772, 86: 3791, 87: 3851, 2: 3884, 3: 3915, 4: 3942, 36: 3945, 37: 4141, 5: 4163, 6: 4189, 7: 4215, 8: 4235, 9: 4294}"
