,begin_schedule
2,"{10: 5580, 11: 5640, 12: 5667, 13: 5697, 14: 5720, 15: 5742, 38: 5771, 35: 5940, 34: 5943, 82: 5965, 81: 6011, 85: 6049, 84: 6109, 83: 6130, 16: 6146, 17: 6210, 88: 6223, 89: 6248, 93: 6273}"
33,"{10: 6180, 11: 6240, 12: 6259, 13: 6280, 14: 6296, 44: 6311, 45: 6315, 46: 6333, 47: 6600, 48: 6604, 65: 6611, 66: 6626, 67: 6641, 68: 6656, 69: 6671, 70: 6686, 71: 6701, 72: 6716, 73: 6731, 74: 6742}"
69,"{58: 3960, 57: 4020, 56: 4031, 55: 4046, 54: 4061, 53: 4076, 52: 4091, 51: 4106, 50: 4121, 49: 4136, 43: 4151, 35: 4157, 42: 4160, 36: 4161, 37: 4164, 5: 4320, 6: 4340, 7: 4364, 8: 4387, 9: 4405}"
70,"{58: 5460, 57: 5520, 56: 5531, 55: 5546, 54: 5561, 53: 5576, 52: 5591, 51: 5606, 50: 5621, 49: 5636, 43: 5651, 35: 5657, 42: 5660, 36: 5661, 37: 5664, 5: 5820, 6: 5840, 7: 5864, 8: 5887, 9: 5905}"
104,"{10: 4440, 11: 4500, 12: 4519, 13: 4540, 14: 4556, 44: 4571, 45: 4575, 46: 4593, 47: 4800, 48: 4804, 65: 4811, 66: 4826, 67: 4841, 68: 4856, 69: 4871, 70: 4886, 71: 4901, 72: 4916, 73: 4931, 74: 4942}"
107,"{58: 4560, 57: 4620, 56: 4631, 55: 4646, 54: 4661, 53: 4676, 52: 4691, 51: 4706, 50: 4721, 49: 4736, 43: 4751, 35: 4757, 42: 4760, 36: 4761, 37: 4764, 5: 4920, 6: 4940, 7: 4964, 8: 4987, 9: 5005}"
109,"{58: 6000, 57: 6060, 56: 6071, 55: 6086, 54: 6101, 53: 6116, 52: 6131, 51: 6146, 50: 6161, 49: 6176, 43: 6191, 35: 6197, 42: 6200, 36: 6201, 37: 6204, 5: 6360, 6: 6380, 7: 6404, 8: 6427, 9: 6445}"
178,"{10: 5160, 11: 5220, 12: 5244, 13: 5270, 14: 5290, 15: 5309, 38: 5335, 35: 5520, 34: 5523, 82: 5542, 81: 5582, 85: 5615, 84: 5675, 83: 5694, 16: 5708, 17: 5764, 88: 5775, 89: 5797, 93: 5819}"
180,"{10: 6360, 11: 6420, 12: 6447, 13: 6477, 14: 6500, 15: 6522, 38: 6551, 35: 6720, 34: 6723, 82: 6745, 81: 6791, 85: 6829, 84: 6889, 83: 6910, 16: 6926, 17: 6990, 88: 7003, 89: 7028, 93: 7053}"
181,"{92: 3600, 91: 3660, 90: 3680, 1: 3700, 86: 3771, 87: 3790, 2: 3850, 3: 3883, 4: 3914, 36: 3941, 37: 3944, 5: 4140, 6: 4162, 7: 4188, 8: 4214, 9: 4234}"
182,"{10: 6840, 11: 6900, 12: 6921, 13: 6944, 14: 6962, 15: 6979, 38: 7002, 35: 7200, 34: 7203, 82: 7220, 81: 7255, 85: 7285, 84: 7345, 83: 7362, 16: 7374, 17: 7424, 88: 7434, 89: 7454, 93: 7474}"
183,"{92: 4200, 91: 4260, 90: 4285, 1: 4310, 86: 4402, 87: 4427, 2: 4487, 3: 4529, 4: 4570, 36: 4605, 37: 4608, 5: 4740, 6: 4768, 7: 4802, 8: 4835, 9: 4860}"
184,"{10: 7140, 11: 7200, 12: 7227, 13: 7257, 14: 7280, 15: 7302, 38: 7331, 35: 7500, 34: 7503, 82: 7525, 81: 7571, 85: 7609, 84: 7669, 83: 7690, 16: 7706, 17: 7770, 88: 7783, 89: 7808, 93: 7833}"
185,"{92: 5460, 91: 5520, 90: 5545, 1: 5570, 86: 5662, 87: 5687, 2: 5747, 3: 5789, 4: 5830, 36: 5865, 37: 5868, 5: 6000, 6: 6028, 7: 6062, 8: 6095, 9: 6120}"
187,"{92: 6600, 91: 6660, 90: 6685, 1: 6710, 86: 6802, 87: 6827, 2: 6887, 3: 6929, 4: 6970, 36: 7005, 37: 7008, 5: 7140, 6: 7168, 7: 7202, 8: 7235, 9: 7260}"
244,"{92: 3960, 91: 4020, 90: 4045, 1: 4070, 86: 4162, 87: 4187, 2: 4247, 3: 4289, 4: 4330, 36: 4365, 37: 4368, 5: 4500, 6: 4528, 7: 4562, 8: 4595, 9: 4620}"
246,"{92: 4560, 91: 4620, 90: 4645, 1: 4670, 86: 4762, 87: 4787, 2: 4847, 3: 4889, 4: 4930, 36: 4965, 37: 4968, 5: 5100, 6: 5128, 7: 5162, 8: 5195, 9: 5220}"
248,"{92: 5100, 91: 5160, 90: 5185, 1: 5210, 86: 5302, 87: 5327, 2: 5387, 3: 5429, 4: 5470, 36: 5505, 37: 5508, 5: 5640, 6: 5668, 7: 5702, 8: 5735, 9: 5760}"
250,"{92: 6960, 91: 7020, 90: 7045, 1: 7070, 86: 7162, 87: 7187, 2: 7247, 3: 7289, 4: 7330, 36: 7365, 37: 7368, 5: 7500, 6: 7528, 7: 7562, 8: 7595, 9: 7620}"
267,"{92: 6240, 91: 6300, 90: 6325, 1: 6350, 86: 6442, 87: 6467, 2: 6527, 3: 6569, 4: 6610, 36: 6645, 37: 6648, 5: 6780, 6: 6808, 7: 6842, 8: 6875, 9: 6900}"
268,"{10: 4080, 11: 4140, 12: 4164, 13: 4190, 14: 4210, 15: 4229, 38: 4255, 35: 4440, 34: 4443, 82: 4462, 81: 4502, 85: 4535, 84: 4595, 83: 4614, 16: 4628, 17: 4684, 88: 4695, 89: 4717, 93: 4739}"
270,"{10: 5940, 11: 6000, 12: 6027, 13: 6057, 14: 6080, 15: 6102, 38: 6131, 35: 6300, 34: 6303, 82: 6325, 81: 6371, 85: 6409, 84: 6469, 83: 6490, 16: 6506, 17: 6570, 88: 6583, 89: 6608, 93: 6633}"
379,"{92: 5880, 91: 5940, 90: 5965, 1: 5990, 86: 6082, 87: 6107, 2: 6167, 3: 6209, 4: 6250, 36: 6285, 37: 6288, 5: 6480, 6: 6508, 7: 6542, 8: 6575, 9: 6600}"
380,"{10: 3840, 11: 3900, 12: 3921, 13: 3944, 14: 3962, 15: 3979, 38: 4002, 35: 4200, 34: 4203, 82: 4220, 81: 4255, 85: 4285, 84: 4345, 83: 4362, 16: 4374, 17: 4424, 88: 4434, 89: 4454, 93: 4474}"
431,"{10: 4680, 11: 4740, 12: 4764, 13: 4790, 14: 4810, 15: 4829, 38: 4855, 35: 5100, 34: 5103, 82: 5122, 81: 5162, 85: 5195, 84: 5255, 83: 5274, 16: 5288, 17: 5344, 88: 5355, 89: 5377, 93: 5399}"
433,"{10: 6540, 11: 6600, 12: 6624, 13: 6650, 14: 6670, 15: 6689, 38: 6715, 35: 6900, 34: 6903, 82: 6922, 81: 6962, 85: 6995, 84: 7055, 83: 7074, 16: 7088, 17: 7144, 88: 7155, 89: 7177, 93: 7199}"
