,end_schedule
1,"{92: 8641, 91: 8666, 90: 8691, 1: 8783, 86: 8808, 87: 8868, 2: 8910, 3: 8951, 4: 8986, 36: 8989, 37: 9079, 5: 9107, 6: 9141, 7: 9174, 8: 9199, 9: 9258}"
11,"{10: 10261, 11: 10288, 12: 10318, 13: 10341, 14: 10363, 15: 10392, 38: 10501, 35: 10504, 34: 10526, 82: 10572, 81: 10610, 85: 10670, 84: 10691, 83: 10707, 16: 10771, 17: 10784, 88: 10809, 89: 10834, 93: 10893}"
25,"{92: 9241, 91: 9266, 90: 9291, 1: 9383, 86: 9408, 87: 9468, 2: 9510, 3: 9551, 4: 9586, 36: 9589, 37: 9781, 5: 9809, 6: 9843, 7: 9876, 8: 9901, 9: 9960}"
34,"{10: 9181, 11: 9200, 12: 9221, 13: 9237, 14: 9252, 44: 9256, 45: 9274, 46: 9541, 47: 9545, 48: 9552, 65: 9567, 66: 9582, 67: 9597, 68: 9612, 69: 9627, 70: 9642, 71: 9657, 72: 9672, 73: 9683, 74: 9742}"
35,"{10: 10741, 11: 10760, 12: 10781, 13: 10797, 14: 10812, 44: 10816, 45: 10834, 46: 11041, 47: 11045, 48: 11052, 65: 11067, 66: 11082, 67: 11097, 68: 11112, 69: 11127, 70: 11142, 71: 11157, 72: 11172, 73: 11183, 74: 11242}"
71,"{58: 7321, 57: 7332, 56: 7347, 55: 7362, 54: 7377, 53: 7392, 52: 7407, 51: 7422, 50: 7437, 49: 7452, 43: 7458, 35: 7461, 42: 7462, 36: 7465, 37: 7681, 5: 7701, 6: 7725, 7: 7748, 8: 7766, 9: 7825}"
72,"{58: 9061, 57: 9072, 56: 9087, 55: 9102, 54: 9117, 53: 9132, 52: 9147, 51: 9162, 50: 9177, 49: 9192, 43: 9198, 35: 9201, 42: 9202, 36: 9205, 37: 9361, 5: 9381, 6: 9405, 7: 9428, 8: 9446, 9: 9505}"
105,"{10: 7381, 11: 7400, 12: 7421, 13: 7437, 14: 7452, 44: 7456, 45: 7474, 46: 7681, 47: 7685, 48: 7692, 65: 7707, 66: 7722, 67: 7737, 68: 7752, 69: 7767, 70: 7782, 71: 7797, 72: 7812, 73: 7823, 74: 7882}"
106,"{10: 8221, 11: 8240, 12: 8261, 13: 8277, 14: 8292, 44: 8296, 45: 8314, 46: 8521, 47: 8525, 48: 8532, 65: 8547, 66: 8562, 67: 8577, 68: 8592, 69: 8607, 70: 8622, 71: 8637, 72: 8652, 73: 8663, 74: 8722}"
108,"{10: 10141, 11: 10160, 12: 10181, 13: 10197, 14: 10212, 44: 10216, 45: 10234, 46: 10441, 47: 10445, 48: 10452, 65: 10467, 66: 10482, 67: 10497, 68: 10512, 69: 10527, 70: 10542, 71: 10557, 72: 10572, 73: 10583, 74: 10642}"
