,begin_schedule
1,"{92: 8580, 91: 8640, 90: 8665, 1: 8690, 86: 8782, 87: 8807, 2: 8867, 3: 8909, 4: 8950, 36: 8985, 37: 8988, 5: 9078, 6: 9106, 7: 9140, 8: 9173, 9: 9198}"
11,"{10: 10200, 11: 10260, 12: 10287, 13: 10317, 14: 10340, 15: 10362, 38: 10391, 35: 10500, 34: 10503, 82: 10525, 81: 10571, 85: 10609, 84: 10669, 83: 10690, 16: 10706, 17: 10770, 88: 10783, 89: 10808, 93: 10833}"
25,"{92: 9180, 91: 9240, 90: 9265, 1: 9290, 86: 9382, 87: 9407, 2: 9467, 3: 9509, 4: 9550, 36: 9585, 37: 9588, 5: 9780, 6: 9808, 7: 9842, 8: 9875, 9: 9900}"
34,"{10: 9120, 11: 9180, 12: 9199, 13: 9220, 14: 9236, 44: 9251, 45: 9255, 46: 9273, 47: 9540, 48: 9544, 65: 9551, 66: 9566, 67: 9581, 68: 9596, 69: 9611, 70: 9626, 71: 9641, 72: 9656, 73: 9671, 74: 9682}"
35,"{10: 10680, 11: 10740, 12: 10759, 13: 10780, 14: 10796, 44: 10811, 45: 10815, 46: 10833, 47: 11040, 48: 11044, 65: 11051, 66: 11066, 67: 11081, 68: 11096, 69: 11111, 70: 11126, 71: 11141, 72: 11156, 73: 11171, 74: 11182}"
71,"{58: 7260, 57: 7320, 56: 7331, 55: 7346, 54: 7361, 53: 7376, 52: 7391, 51: 7406, 50: 7421, 49: 7436, 43: 7451, 35: 7457, 42: 7460, 36: 7461, 37: 7464, 5: 7680, 6: 7700, 7: 7724, 8: 7747, 9: 7765}"
72,"{58: 9000, 57: 9060, 56: 9071, 55: 9086, 54: 9101, 53: 9116, 52: 9131, 51: 9146, 50: 9161, 49: 9176, 43: 9191, 35: 9197, 42: 9200, 36: 9201, 37: 9204, 5: 9360, 6: 9380, 7: 9404, 8: 9427, 9: 9445}"
105,"{10: 7320, 11: 7380, 12: 7399, 13: 7420, 14: 7436, 44: 7451, 45: 7455, 46: 7473, 47: 7680, 48: 7684, 65: 7691, 66: 7706, 67: 7721, 68: 7736, 69: 7751, 70: 7766, 71: 7781, 72: 7796, 73: 7811, 74: 7822}"
106,"{10: 8160, 11: 8220, 12: 8239, 13: 8260, 14: 8276, 44: 8291, 45: 8295, 46: 8313, 47: 8520, 48: 8524, 65: 8531, 66: 8546, 67: 8561, 68: 8576, 69: 8591, 70: 8606, 71: 8621, 72: 8636, 73: 8651, 74: 8662}"
108,"{10: 10080, 11: 10140, 12: 10159, 13: 10180, 14: 10196, 44: 10211, 45: 10215, 46: 10233, 47: 10440, 48: 10444, 65: 10451, 66: 10466, 67: 10481, 68: 10496, 69: 10511, 70: 10526, 71: 10541, 72: 10556, 73: 10571, 74: 10582}"
