,begin_schedule
54,"{10: 44640, 11: 44700, 12: 44719, 13: 44740, 14: 44756, 44: 44771, 45: 44775, 46: 44793, 47: 45000, 48: 45004, 65: 45011, 66: 45026, 67: 45041, 68: 45056, 69: 45071, 70: 45086, 71: 45101, 72: 45116, 73: 45131, 74: 45142}"
55,"{10: 46500, 11: 46560, 12: 46579, 13: 46600, 14: 46616, 44: 46631, 45: 46635, 46: 46653, 47: 46860, 48: 46864, 65: 46871, 66: 46886, 67: 46901, 68: 46916, 69: 46931, 70: 46946, 71: 46961, 72: 46976, 73: 46991, 74: 47002}"
91,"{58: 43680, 57: 43740, 56: 43751, 55: 43766, 54: 43781, 53: 43796, 52: 43811, 51: 43826, 50: 43841, 49: 43856, 43: 43871, 35: 43877, 42: 43880, 36: 43881, 37: 43884, 5: 44100, 6: 44120, 7: 44144, 8: 44167, 9: 44185}"
92,"{58: 45420, 57: 45480, 56: 45491, 55: 45506, 54: 45521, 53: 45536, 52: 45551, 51: 45566, 50: 45581, 49: 45596, 43: 45611, 35: 45617, 42: 45620, 36: 45621, 37: 45624, 5: 45840, 6: 45860, 7: 45884, 8: 45907, 9: 45925}"
146,"{10: 43680, 11: 43740, 12: 43759, 13: 43780, 14: 43796, 44: 43811, 45: 43815, 46: 43833, 47: 44040, 48: 44044, 65: 44051, 66: 44066, 67: 44081, 68: 44096, 69: 44111, 70: 44126, 71: 44141, 72: 44156, 73: 44171, 74: 44182}"
148,"{10: 45540, 11: 45600, 12: 45619, 13: 45640, 14: 45656, 44: 45671, 45: 45675, 46: 45693, 47: 45900, 48: 45904, 65: 45911, 66: 45926, 67: 45941, 68: 45956, 69: 45971, 70: 45986, 71: 46001, 72: 46016, 73: 46031, 74: 46042}"
151,"{58: 44460, 57: 44520, 56: 44531, 55: 44546, 54: 44561, 53: 44576, 52: 44591, 51: 44606, 50: 44621, 49: 44636, 43: 44651, 35: 44657, 42: 44660, 36: 44661, 37: 44664, 5: 44880, 6: 44900, 7: 44924, 8: 44947, 9: 44965}"
153,"{58: 46260, 57: 46320, 56: 46331, 55: 46346, 54: 46361, 53: 46376, 52: 46391, 51: 46406, 50: 46421, 49: 46436, 43: 46451, 35: 46457, 42: 46460, 36: 46461, 37: 46464, 5: 46680, 6: 46700, 7: 46724, 8: 46747, 9: 46765}"
222,"{10: 43500, 11: 43560, 12: 43581, 13: 43604, 14: 43622, 15: 43639, 38: 43662, 35: 43860, 34: 43863, 82: 43880, 81: 43915, 85: 43945, 84: 44005, 83: 44022, 16: 44034, 17: 44084, 88: 44094, 89: 44114, 93: 44134}"
224,"{10: 43920, 11: 43980, 12: 44001, 13: 44024, 14: 44042, 15: 44059, 38: 44082, 35: 44280, 34: 44283, 82: 44300, 81: 44335, 85: 44365, 84: 44425, 83: 44442, 16: 44454, 17: 44504, 88: 44514, 89: 44534, 93: 44554}"
225,"{92: 44100, 91: 44160, 90: 44182, 1: 44204, 86: 44284, 87: 44306, 2: 44366, 3: 44403, 4: 44438, 36: 44468, 37: 44471, 5: 44640, 6: 44665, 7: 44695, 8: 44724, 9: 44746}"
226,"{10: 45300, 11: 45360, 12: 45387, 13: 45417, 14: 45440, 15: 45462, 38: 45491, 35: 45660, 34: 45663, 82: 45685, 81: 45731, 85: 45769, 84: 45829, 83: 45850, 16: 45866, 17: 45930, 88: 45943, 89: 45968, 93: 45993}"
228,"{10: 45720, 11: 45780, 12: 45804, 13: 45830, 14: 45850, 15: 45869, 38: 45895, 35: 46080, 34: 46083, 82: 46102, 81: 46142, 85: 46175, 84: 46235, 83: 46254, 16: 46268, 17: 46324, 88: 46335, 89: 46357, 93: 46379}"
260,"{92: 46380, 91: 46440, 90: 46465, 1: 46490, 86: 46582, 87: 46607, 2: 46667, 3: 46709, 4: 46750, 36: 46785, 37: 46788, 5: 46920, 6: 46948, 7: 46982, 8: 47015, 9: 47040}"
307,"{92: 43200, 91: 43260, 90: 43285, 1: 43310, 86: 43402, 87: 43427, 2: 43487, 3: 43529, 4: 43570, 36: 43605, 37: 43608, 5: 43740, 6: 43768, 7: 43802, 8: 43835, 9: 43860}"
309,"{92: 44940, 91: 45000, 90: 45020, 1: 45040, 86: 45111, 87: 45130, 2: 45190, 3: 45223, 4: 45254, 36: 45281, 37: 45284, 5: 45480, 6: 45502, 7: 45528, 8: 45554, 9: 45574}"
314,"{10: 44820, 11: 44880, 12: 44904, 13: 44930, 14: 44950, 15: 44969, 38: 44995, 35: 45180, 34: 45183, 82: 45202, 81: 45242, 85: 45275, 84: 45335, 83: 45354, 16: 45368, 17: 45424, 88: 45435, 89: 45457, 93: 45479}"
