,end_schedule
66,"{10: 66301, 11: 66320, 12: 66341, 13: 66357, 14: 66372, 44: 66376, 45: 66394, 46: 66601, 47: 66605, 48: 66612, 65: 66627, 66: 66642, 67: 66657, 68: 66672, 69: 66687, 70: 66702, 71: 66717, 72: 66732, 73: 66743, 74: 66802}"
67,"{10: 68101, 11: 68120, 12: 68141, 13: 68157, 14: 68172, 44: 68176, 45: 68194, 46: 68401, 47: 68405, 48: 68412, 65: 68427, 66: 68442, 67: 68457, 68: 68472, 69: 68487, 70: 68502, 71: 68517, 72: 68532, 73: 68543, 74: 68602}"
103,"{58: 65341, 57: 65352, 56: 65367, 55: 65382, 54: 65397, 53: 65412, 52: 65427, 51: 65442, 50: 65457, 49: 65472, 43: 65478, 35: 65481, 42: 65482, 36: 65485, 37: 65641, 5: 65661, 6: 65685, 7: 65708, 8: 65726, 9: 65785}"
170,"{10: 65281, 11: 65300, 12: 65321, 13: 65337, 14: 65352, 44: 65356, 45: 65374, 46: 65581, 47: 65585, 48: 65592, 65: 65607, 66: 65622, 67: 65637, 68: 65652, 69: 65667, 70: 65682, 71: 65697, 72: 65712, 73: 65723, 74: 65782}"
172,"{10: 67321, 11: 67340, 12: 67361, 13: 67377, 14: 67392, 44: 67396, 45: 67414, 46: 67621, 47: 67625, 48: 67632, 65: 67647, 66: 67662, 67: 67677, 68: 67692, 69: 67707, 70: 67722, 71: 67737, 72: 67752, 73: 67763, 74: 67822}"
175,"{58: 66121, 57: 66132, 56: 66147, 55: 66162, 54: 66177, 53: 66192, 52: 66207, 51: 66222, 50: 66237, 49: 66252, 43: 66258, 35: 66261, 42: 66262, 36: 66265, 37: 66481, 5: 66501, 6: 66525, 7: 66548, 8: 66566, 9: 66625}"
176,"{58: 67921, 57: 67932, 56: 67947, 55: 67962, 54: 67977, 53: 67992, 52: 68007, 51: 68022, 50: 68037, 49: 68052, 43: 68058, 35: 68061, 42: 68062, 36: 68065, 37: 68281, 5: 68301, 6: 68325, 7: 68348, 8: 68366, 9: 68425}"
237,"{10: 65581, 11: 65605, 12: 65631, 13: 65651, 14: 65670, 15: 65696, 38: 65881, 35: 65884, 34: 65903, 82: 65943, 81: 65976, 85: 66036, 84: 66055, 83: 66069, 16: 66125, 17: 66136, 88: 66158, 89: 66180, 93: 66239}"
238,"{10: 67441, 11: 67468, 12: 67498, 13: 67521, 14: 67543, 15: 67572, 38: 67741, 35: 67744, 34: 67766, 82: 67812, 81: 67850, 85: 67910, 84: 67931, 83: 67947, 16: 68011, 17: 68024, 88: 68049, 89: 68074, 93: 68133}"
239,"{10: 68401, 11: 68425, 12: 68451, 13: 68471, 14: 68490, 15: 68516, 38: 68701, 35: 68704, 34: 68723, 82: 68763, 81: 68796, 85: 68856, 84: 68875, 83: 68889, 16: 68945, 17: 68956, 88: 68978, 89: 69000, 93: 69059}"
333,"{92: 66481, 91: 66501, 90: 66521, 1: 66592, 86: 66611, 87: 66671, 2: 66704, 3: 66735, 4: 66762, 36: 66765, 37: 66961, 5: 66983, 6: 67009, 7: 67035, 8: 67055, 9: 67114}"
335,"{92: 68341, 91: 68363, 90: 68385, 1: 68465, 86: 68487, 87: 68547, 2: 68584, 3: 68619, 4: 68649, 36: 68652, 37: 68821, 5: 68846, 6: 68876, 7: 68905, 8: 68927, 9: 68986}"
336,"{10: 64861, 11: 64888, 12: 64918, 13: 64941, 14: 64963, 15: 64992, 38: 65161, 35: 65164, 34: 65186, 82: 65232, 81: 65270, 85: 65330, 84: 65351, 83: 65367, 16: 65431, 17: 65444, 88: 65469, 89: 65494, 93: 65553}"
337,"{10: 66661, 11: 66688, 12: 66718, 13: 66741, 14: 66763, 15: 66792, 38: 66961, 35: 66964, 34: 66986, 82: 67032, 81: 67070, 85: 67130, 84: 67151, 83: 67167, 16: 67231, 17: 67244, 88: 67269, 89: 67294, 93: 67353}"
426,"{92: 65161, 91: 65183, 90: 65205, 1: 65285, 86: 65307, 87: 65367, 2: 65404, 3: 65439, 4: 65469, 36: 65472, 37: 65821, 5: 65846, 6: 65876, 7: 65905, 8: 65927, 9: 65986}"
429,"{10: 67741, 11: 67765, 12: 67791, 13: 67811, 14: 67830, 15: 67856, 38: 68041, 35: 68044, 34: 68063, 82: 68103, 81: 68136, 85: 68196, 84: 68215, 83: 68229, 16: 68285, 17: 68296, 88: 68318, 89: 68340, 93: 68399}"
474,"{92: 66961, 91: 66986, 90: 67011, 1: 67103, 86: 67128, 87: 67188, 2: 67230, 3: 67271, 4: 67306, 36: 67309, 37: 67441, 5: 67469, 6: 67503, 7: 67536, 8: 67561, 9: 67620}"
475,"{10: 65881, 11: 65905, 12: 65931, 13: 65951, 14: 65970, 15: 65996, 38: 66241, 35: 66244, 34: 66263, 82: 66303, 81: 66336, 85: 66396, 84: 66415, 83: 66429, 16: 66485, 17: 66496, 88: 66518, 89: 66540, 93: 66599}"
