,planned_stop
12,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
28,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
29,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
37,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
38,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
39,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
76,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
114,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
116,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
119,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
121,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'MANOTERAS': 60}"
195,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
196,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
197,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
198,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
199,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
200,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
243,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
245,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
277,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
279,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
282,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
284,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
345,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
346,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
347,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
348,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
392,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
393,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
437,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
439,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
441,"{'MADRID-NUEVOS-MINISTERIOS': 60, 'MADRID-CHAMARTIN': 90, 'RAMON-Y-CAJAL': 60, 'PITIS': 60}"
