,begin_schedule
10,"{10: 56940, 11: 57000, 12: 57027, 13: 57057, 14: 57080, 15: 57102, 38: 57131, 35: 57300, 34: 57303, 82: 57325, 81: 57371, 85: 57409, 84: 57469, 83: 57490, 16: 57506, 17: 57570, 88: 57583, 89: 57608, 93: 57633}"
21,"{92: 56160, 91: 56220, 90: 56242, 1: 56264, 86: 56344, 87: 56366, 2: 56426, 3: 56463, 4: 56498, 36: 56528, 37: 56531, 5: 56640, 6: 56665, 7: 56695, 8: 56724, 9: 56746}"
24,"{10: 55140, 11: 55200, 12: 55224, 13: 55250, 14: 55270, 15: 55289, 38: 55315, 35: 55440, 34: 55443, 82: 55462, 81: 55502, 85: 55535, 84: 55595, 83: 55614, 16: 55628, 17: 55684, 88: 55695, 89: 55717, 93: 55739}"
60,"{10: 55500, 11: 55560, 12: 55579, 13: 55600, 14: 55616, 44: 55631, 45: 55635, 46: 55653, 47: 55860, 48: 55864, 65: 55871, 66: 55886, 67: 55901, 68: 55916, 69: 55931, 70: 55946, 71: 55961, 72: 55976, 73: 55991, 74: 56002}"
61,"{10: 57300, 11: 57360, 12: 57379, 13: 57400, 14: 57416, 44: 57431, 45: 57435, 46: 57453, 47: 57660, 48: 57664, 65: 57671, 66: 57686, 67: 57701, 68: 57716, 69: 57731, 70: 57746, 71: 57761, 72: 57776, 73: 57791, 74: 57802}"
97,"{58: 54480, 57: 54540, 56: 54551, 55: 54566, 54: 54581, 53: 54596, 52: 54611, 51: 54626, 50: 54641, 49: 54656, 43: 54671, 35: 54677, 42: 54680, 36: 54681, 37: 54684, 5: 54900, 6: 54920, 7: 54944, 8: 54967, 9: 54985}"
98,"{58: 56160, 57: 56220, 56: 56231, 55: 56246, 54: 56261, 53: 56276, 52: 56291, 51: 56306, 50: 56321, 49: 56336, 43: 56351, 35: 56357, 42: 56360, 36: 56361, 37: 56364, 5: 56520, 6: 56540, 7: 56564, 8: 56587, 9: 56605}"
158,"{10: 54420, 11: 54480, 12: 54499, 13: 54520, 14: 54536, 44: 54551, 45: 54555, 46: 54573, 47: 54840, 48: 54844, 65: 54851, 66: 54866, 67: 54881, 68: 54896, 69: 54911, 70: 54926, 71: 54941, 72: 54956, 73: 54971, 74: 54982}"
160,"{10: 56340, 11: 56400, 12: 56419, 13: 56440, 14: 56456, 44: 56471, 45: 56475, 46: 56493, 47: 56700, 48: 56704, 65: 56711, 66: 56726, 67: 56741, 68: 56756, 69: 56771, 70: 56786, 71: 56801, 72: 56816, 73: 56831, 74: 56842}"
163,"{58: 55260, 57: 55320, 56: 55331, 55: 55346, 54: 55361, 53: 55376, 52: 55391, 51: 55406, 50: 55421, 49: 55436, 43: 55451, 35: 55457, 42: 55460, 36: 55461, 37: 55464, 5: 55680, 6: 55700, 7: 55724, 8: 55747, 9: 55765}"
165,"{58: 57060, 57: 57120, 56: 57131, 55: 57146, 54: 57161, 53: 57176, 52: 57191, 51: 57206, 50: 57221, 49: 57236, 43: 57251, 35: 57257, 42: 57260, 36: 57261, 37: 57264, 5: 57420, 6: 57440, 7: 57464, 8: 57487, 9: 57505}"
227,"{92: 54900, 91: 54960, 90: 54985, 1: 55010, 86: 55102, 87: 55127, 2: 55187, 3: 55229, 4: 55270, 36: 55305, 37: 55308, 5: 55440, 6: 55468, 7: 55502, 8: 55535, 9: 55560}"
229,"{92: 56700, 91: 56760, 90: 56785, 1: 56810, 86: 56902, 87: 56927, 2: 56987, 3: 57029, 4: 57070, 36: 57105, 37: 57108, 5: 57240, 6: 57268, 7: 57302, 8: 57335, 9: 57360}"
